CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMBALAGEM_VENDA;QTD_LOJAS_COM_CUSTO;PRECO_VENDA_NORMAL;PRECO_VENDA_PRATICADO;CUSTO_NF_BRUTO;CUSTO_IPI;CUSTO_ICMS_ST;CUSTO_DESP_NF;CUSTO_DESP_FORA_NF;CREDITO_ICMS;CREDITO_PIS;CREDITO_COFINS;DESCONTO_FORA_NF;DESCONTO_VERBA;CUSTO_LIQUIDO;ALIQ_ICMS_VENDA;ALIQ_PIS_VENDA;ALIQ_COFINS_VENDA;ALIQ_IMPOSTOS_TOTAL;VALOR_IMPOSTOS_VENDA;PRECO_VENDA_LIQUIDO;LUCRO_VALOR;MARGEM_REALIZADA;MARGEM_OBJETIVA;PRECO_SUGERIDO
20440;MAMAD LOLLY SPECIAL SIL ROSA 2662 01 R;1;2;24,64;24,64;13,856;,7325;2,5875;0;0;0;,1638;,7538;0;0;13,7643;0;1,65;7,6;9,25;2,2792;22,3608;8,5965;34,89;35;24,69
20441;MAMAD LOLLY TIP COL 240ML RS;1;2;30,89;30,89;16,818;,8775;3,0997;0;0;0;,1961;,9028;0;0;16,5983;0;1,65;7,6;9,25;2,8573;28,0327;11,4344;37,02;35;29,77
20442;MAMAD LOLLY TIP COL 240ML AZ;1;2;30,89;30,89;16,5031;,8775;3,0997;0;0;0;,1961;,9028;0;0;16,4407;0;1,65;7,6;9,25;2,8573;28,0327;11,592;37,53;35;29,49
20443;MAMAD LOLLY TIP SIL R 240ML F 1360 01 F;1;7;27,99;27,99;16,9281;,8772;3,0997;0;0;0;,1961;,9028;0;0;16,5944;0;1,65;7,6;9,25;2,5891;25,4009;8,8065;31,46;35;29,77
20444;MAMAD LOLLY TIP SIL R 240ML M 1360 01 M;1;6;27,99;27,99;17,4771;,8775;3,0997;0;0;0;,1961;,9028;0;0;16,8727;0;1,65;7,6;9,25;2,5891;25,4009;8,5282;30,47;35;30,26
20454;MANG DUOCOLOR 10MTS;1;15;25,99;25,99;9,9;0;0;0;0;0;0;0;0;0;9,9;17;1,65;7,6;26,25;6,8224;19,1676;9,2676;35,66;28;21,64
20455;MANG DUOCOLOR 20MTS;1;15;42,9;42,9;19,8;0;0;0;0;0;0;0;0;0;19,8;17;1,65;7,6;26,25;11,2613;31,6388;11,8388;27,6;28;43,28
20456;MANG DUOCOLOR 5MTS;1;13;19,99;19,99;8,39;0;0;0;0;0;0;0;0;0;8,39;17;1,65;7,6;26,25;5,2474;14,7426;6,3526;31,78;28;18,34
20457;MANG JARDIM 3 8 TRANCAD 20M;1;1;81,5;81,5;38,2725;0;0;0;0;0;0;0;0;0;38,2725;17;1,65;7,6;26,25;21,3938;60,1063;21,8338;26,79;35;98,77
20459;MANP/GAS 1M C/ABRACADEIRAS;1;5;26,89;26,89;14,99;0;0;0;0;0;0;0;0;0;14,99;0;1,65;7,6;9,25;2,4873;24,4027;9,4127;35;35;26,89
20462;MANT STA CLARA 200G S SAL;1;10;18,59;18,59;9,88;0;0;0;0;1,1858;0;0;0;0;8,9944;17;0;0;17;3,1603;15,4297;6,4353;34,62;30;16,97
20463;MANTA ACONCHEGO CASAL 180X220;1;12;35,9;35,9;21;0;0;0;0;0;0;0;0;0;21;17;1,65;7,6;26,25;9,4238;26,4763;5,4763;15,25;25;43,08
