NUMERONF;SERIENF;EMPRESA;DTAEMISSAO;DTAENTRADA;VLRTOTALNF;VLR_BONIFICADO;SITUACAO_DESC;SITUACAO;SEQNOTAFISCAL;SEQAUXNOTAFISCAL;SEQPESSOA;FORNECEDOR;STATUSCARGA;USUARIORF;NFECHAVEACESSO;CODGERALOPER;CFOP_FORNECEDOR;CFOP_INTERNO;ITENS_CODIGO;ITENS_DESCRICAO;ITENS_QUANTIDADE
116638;1;015-CD;15/05/2026;20/05/2026;1208,36;1208,36;RECEBIDA;I;;168286;7076;7076 - S.A.FOSFOROS GABOARDI;L;;42260583754986000112550010001166381653132655;100;6910;2910;6109;FOSFORO GABOARDI 10UN;480
122405;1;015-CD;18/05/2026;20/05/2026;522,00;522,00;RECEBIDA;I;;168076;2977;2977 - DELAVY ALIMENTOS LTDA;L;;43260501813425000182550010001224051683829230;100;5910;1910;33697;SALG KEVYTOS PALITO 150G BACON;180
139904;1;015-CD;20/05/2026;20/05/2026;1323,00;1323,00;RECEBIDA;I;;168630;14068;14068 - ARBAZA ALIMENTOS LTDA;L;;43260589982177000306550010001399041145881707;100;5910;1910;2325 / 2348 / 2361;FEIJAO PRETO ARBAZA PREMIUM 500G / FEIJAO PRETO ARBAZA TP1 1KG / FEIJAO VERMELHO ARBAZA 500G;120 / 150 / 60
236494;2;015-CD;15/05/2026;20/05/2026;3936,00;3936,00;RECEBIDA;I;;168550;6798;6798 - BARAO ERVA MATE E CHAS;L;;43260592549468000158550020002364941101377460;100;5910;1910;17665 / 37960 / 37962 / 37963;ERVA MATE CAMBONA MOIDA GROSSA 1KG / CHA BARAO 15G DA NOITE / CHA BARAO 10G CAMOMILA / CHA MISTO BARAO 13G;120 / 300 / 300 / 300
843645;1;015-CD;19/05/2026;20/05/2026;416,45;416,45;RECEBIDA;I;;168168;10334;10334 - IND COM PROD LIMP GIRANDO SOL;L;;43260593973329000110550010008436451027233289;103;5910;1910;12410;AMACIANTE GIRANDO SOL 500ML AZUL;60
924645;1;015-CD;18/05/2026;21/05/2026;2241,63;2241,63;RECEBIDA;I;;169855;3527;3527 - FABIANO ZAFFALON E CIA LTDA;L;;43260502284641000302550010009246451006645185;100;5910;1910;8705 / 25103;VASSOURA CONDOR V 35 / VASSOURA CONDOR MADRI V 200;195 / 42
60950;2;015-CD;20/05/2026;22/05/2026;1497,60;1497,60;RECEBIDA;I;;170860;22638;22638 - FRUKI BEBIDAS S.A PAVERAMA;L;;43260587315099001170550020000609501643658252;100;5910;1910;378 / 379 / 715;REFRE FRUKITO PET 200ML FRUTAS CITRICAS / REFRE FRUKITO PET 200ML LIMAO / REFRE FRUKITO PET 200ML UVA;720 / 360 / 360
80000;1;015-CD;22/05/2026;22/05/2026;522,60;522,60;RECEBIDA;I;;170276;16963;16963 - GERMANI ALIMENTOS LTDA;L;;43260590058082000118550010000800001070160414;103;5910;1910;2696;FARINHA MILHO PERDIZ 1KG MEDIA;156
581834;5;015-CD;22/05/2026;23/05/2026;2222,10;2222,10;RECEBIDA;I;;171315;14671;14671 - CONSERVAS ODERICH SA;L;;43260597191902000518550050005818341194113642;100;5910;1910;874;MAIONESE ODERICH SH 1KG;270
500553;1;003-BAKLIZI;22/05/2026;25/05/2026;435,68;435,68;RECEBIDA;I;;171932;11898;11898 - PANIFICIO MALLET LTDA.;L;;43260502753746000100550010005005531101281245;1;5910;1102;12057 / 12058 / 12059;TORTA MALLET CONG 700G BRIGADEIRO / TORTA MALLET CONG 700G DOIS AMORES / TORTA MALLET CONG 700G MARTA ROCHA;6 / 6 / 4
60147;0;015-CD;25/05/2026;25/05/2026;623,80;623,80;RECEBIDA;I;;172006;12743;12743 - CEREAIS RUVIARO LTDA;L;;43260502999484000150550000000601471314648742;100;5910;1910;2026 / 2355;MILHO PIPOCA SERRA URUGUAI TP1 400G / FEIJAO PRETO SERRA URUGUAI TP1 1KG;20 / 120
174296;1;015-CD;20/05/2026;25/05/2026;1554,64;1554,64;RECEBIDA;I;;171972;2787;2787 - SGM INDUSTRIA DE COSMETICOS LT;L;;43260501342361000260550010001742961117581395;100;5910;1910;5329 / 7012 / 24816 / 24818 / 24822;CR PENT VINI LADY 290G LISO INTENSO / LOCAO HIDRATANTE DENOMAX 470G ROSA MOSQ ARG / TINTURA BELAECOR 147G 3 0 CASTANHO E / TINTURA BELAECOR 147G 4 0 CASTANHO M / TINTURA BELAECOR 147G 5 0 CASTANHO C;36 / 36 / 36 / 24 / 24
340039;1;015-CD;21/05/2026;25/05/2026;6366,30;6366,30;RECEBIDA;I;;172163;14468;14468 - BERTOLINI INDUSTRIA QUIMICA LT;L;;43260590051996000157550010003400391166508280;101;5910;1910;5679 / 5680 / 5681 / 5682;DET LIQ GOTA LIMPA 500ML LIMAO / DET LIQ GOTA LIMPA 500ML MACA / DET LIQ GOTA LIMPA 500ML MARINE / DET LIQ GOTA LIMPA 500ML NEUTRO;816 / 1632 / 816 / 816
2429662;2;015-CD;23/05/2026;25/05/2026;103,32;103,32;RECEBIDA;I;;172061;15441;15441 - SPAL IND BRAS BEBIDAS AS;L;;43260561186888015620550020024296621012779434;100;5910;1910;319;BEB ADES TP 1L ABACAXI;18
2429663;2;015-CD;23/05/2026;25/05/2026;1972,08;1972,08;RECEBIDA;I;;172062;15441;15441 - SPAL IND BRAS BEBIDAS AS;L;;43260561186888015620550020024296631068118961;100;5910;1910;389;ENERG MONSTER LT 473ML GREEN;264
2429665;2;015-CD;23/05/2026;25/05/2026;4771,44;4771,44;RECEBIDA;I;;172063;15441;15441 - SPAL IND BRAS BEBIDAS AS;L;;43260561186888015620550020024296651073975944;100;5910;1910;163;CERV EISENBAHN PILSEN LT 473ML;1128
2429667;2;015-CD;23/05/2026;25/05/2026;728,00;728,00;RECEBIDA;I;;172732;15441;15441 - SPAL IND BRAS BEBIDAS AS;L;;43260561186888015620550020024296671054916720;100;5910;1910;10;REFRIG COCA COLA PET 2L;80
2429668;2;015-CD;23/05/2026;25/05/2026;1593,60;1593,60;RECEBIDA;I;;172065;15441;15441 - SPAL IND BRAS BEBIDAS AS;L;;43260561186888015620550020024296681050069248;100;5910;1910;223;CERV THEREZOPOLIS LAGER LT 473ML GOLD;384
2429674;2;015-CD;23/05/2026;25/05/2026;697,21;697,21;RECEBIDA;I;;172066;15441;15441 - SPAL IND BRAS BEBIDAS AS;L;;43260561186888015620550020024296741010172975;100;5910;1910;223;CERV THEREZOPOLIS LAGER LT 473ML GOLD;168
2429678;2;015-CD;23/05/2026;25/05/2026;381,00;381,00;RECEBIDA;I;;172067;15441;15441 - SPAL IND BRAS BEBIDAS AS;L;;43260561186888015620550020024296781050752289;100;5910;1910;59;AGUA GASEIFICADA CRYSTAL PET 510ML FRUTAS VERMELHA;150
2429679;2;015-CD;23/05/2026;25/05/2026;5786,64;5786,64;RECEBIDA;I;;172068;15441;15441 - SPAL IND BRAS BEBIDAS AS;L;;43260561186888015620550020024296791079052169;100;5910;1910;163;CERV EISENBAHN PILSEN LT 473ML;1368
2429681;2;015-CD;23/05/2026;25/05/2026;1434,24;1434,24;RECEBIDA;I;;172069;15441;15441 - SPAL IND BRAS BEBIDAS AS;L;;43260561186888015620550020024296811089343725;100;5910;1910;389;ENERG MONSTER LT 473ML GREEN;192
2429683;2;015-CD;23/05/2026;25/05/2026;1568,70;1568,70;RECEBIDA;I;;172070;15441;15441 - SPAL IND BRAS BEBIDAS AS;L;;43260561186888015620550020024296831021751385;100;5910;1910;389;ENERG MONSTER LT 473ML GREEN;210
2429684;2;015-CD;23/05/2026;25/05/2026;9695,16;9695,16;RECEBIDA;I;;172071;15441;15441 - SPAL IND BRAS BEBIDAS AS;L;;43260561186888015620550020024296841089870727;100;5910;1910;163;CERV EISENBAHN PILSEN LT 473ML;2292
2429703;2;015-CD;23/05/2026;25/05/2026;137,17;137,17;RECEBIDA;I;;172059;15441;15441 - SPAL IND BRAS BEBIDAS AS;L;;43260561186888015620550020024297031091994079;100;5910;1910;59;AGUA GASEIFICADA CRYSTAL PET 510ML FRUTAS VERMELHA;54
2429704;2;015-CD;23/05/2026;25/05/2026;246,78;246,78;RECEBIDA;I;;172060;15441;15441 - SPAL IND BRAS BEBIDAS AS;L;;43260561186888015620550020024297041092715847;100;5910;1910;448;BEB SCHWEPPES LT 269ML GIN TONICA;54
2429705;2;015-CD;23/05/2026;25/05/2026;190,80;190,80;RECEBIDA;I;;172075;15441;15441 - SPAL IND BRAS BEBIDAS AS;L;;43260561186888015620550020024297051068985691;100;5910;1910;25463;VODKA SPRITE ABSOLUT LT 269ML;30
