COD_PONTO_EXTRA;NOME_PONTO_EXTRA;LOJA;COMPRADOR;COD_PRODUTO;DESCRICAO_PRODUTO;MINIMO_PONTO_EXTRA;MAXIMO_PONTO_EXTRA;INICIO_VIGENCIA;FIM_VIGENCIA;STATUS_ITEM_EMP;SITUACAO_VIGENCIA
121;Pontas fixas;17;NICOLAS;33255;REFRIG CHARRUA PET 3L GUARANA;360;468;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;17;NICOLAS;10;REFRIG COCA COLA PET 2L;1200;1800;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;17;NICOLAS;795;REFRIG COCA COLA PET 2L ZERO;600;780;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;17;NICOLAS;806;REFRIG FANTA LARANJA PET 2L;600;780;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;17;NICOLAS;824;REFRIG PEPSI PET 2L BLACK;168;216;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;17;NICOLAS;830;REFRIG SPRITE PET 2L;600;720;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;18;NICOLAS;48;AGUA MIN FLORESTA PET 500ML C GAS;4032;5232;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;18;NICOLAS;49;AGUA MIN FLORESTA PET 500ML S GAS;4032;5232;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;18;NICOLAS;144;CERV AMSTEL LAGER LT 473ML;1320;1716;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;18;NICOLAS;152;CERV BRAHMA CHOPP LT 473ML;2640;3432;10/06/2026;31/12/2026;A;VIGENTE
