"Código Produto";"Produto";"CGO";"Quantidade";"Valor Bruto";"Valor Liquido"
"36216";"SAND HAVAIANAS TOP AMARELO 39 40";"800";"1,000";"31,99";"31,99"
"23535";"SAND HAVAIANAS TOP ATHLETIC AZL BCO 41 42";"800";"1,000";"32,99";"32,99"
"23536";"SAND HAVAIANAS TOP ATHLETIC AZL BCO 43 44";"800";"1,000";"32,99";"32,99"
"34077";"SAND HAVAIANAS TOP ATHLETIC GRAFITE 39 40";"800";"3,000";"95,97";"95,97"
"34078";"SAND HAVAIANAS TOP ATHLETIC GRAFITE 41 42";"800";"1,000";"31,99";"31,99"
"34079";"SAND HAVAIANAS TOP ATHLETIC GRAFITE 43 44";"800";"3,000";"95,97";"95,97"
"4789";"SAND HAVAIANAS TOP AZL NAVAL 35 36";"800";"4,000";"127,96";"121,69"
"4790";"SAND HAVAIANAS TOP AZL NAVAL 39 40";"800";"14,000";"447,86";"441,59"
"4791";"SAND HAVAIANAS TOP AZL NAVAL 41 42";"800";"44,000";"1.407,56";"1.376,21"
"4792";"SAND HAVAIANAS TOP AZL NAVAL 43 44";"800";"28,000";"895,72";"864,37"
"4825";"SAND HAVAIANAS TOP BALLET RSA 37 38";"800";"3,000";"104,97";"94,79"
"34573";"SAND HAVAIANAS TOP BALLET RSA 41 42";"800";"15,000";"479,85";"471,49"
"23543";"SAND HAVAIANAS TOP BASIC BC 31/32";"800";"1,000";"31,99";"31,99"
"23545";"SAND HAVAIANAS TOP BASIC PT/BC 41/42";"800";"1,000";"34,99";"34,99"
"4795";"SAND HAVAIANAS TOP BCO 35 36";"800";"4,000";"127,96";"123,78"
"4796";"SAND HAVAIANAS TOP BCO 37 38";"800";"19,000";"607,81";"589,00"
"4797";"SAND HAVAIANAS TOP BCO 39 40";"800";"12,000";"383,88";"371,34"
"4798";"SAND HAVAIANAS TOP BCO 41 42";"800";"8,000";"253,83";"251,74"
"4799";"SAND HAVAIANAS TOP BCO 43 44";"800";"19,000";"595,27";"582,73"
"23548";"SAND HAVAIANAS TOP CORES AZL NAVAL 37 38";"800";"9,000";"287,91";"275,37"
"4807";"SAND HAVAIANAS TOP MARINHO 33 34";"800";"1,000";"31,99";"31,99"
"4811";"SAND HAVAIANAS TOP MARINHO 41 42";"800";"2,000";"63,98";"63,98"
"4819";"SAND HAVAIANAS TOP PTO 35 36";"800";"1,000";"29,90";"29,90"
"4820";"SAND HAVAIANAS TOP PTO 37 38";"800";"19,000";"599,45";"582,73"
"4821";"SAND HAVAIANAS TOP PTO 39 40";"800";"42,000";"1.337,31";"1.295,51"
"4822";"SAND HAVAIANAS TOP PTO 41 42";"800";"14,000";"435,32";"435,32"
"4823";"SAND HAVAIANAS TOP PTO 43 44";"800";"25,000";"797,66";"780,94"
"36331";"SAND HAVAIANAS TOP ROSE GOLD 35 36";"800";"9,000";"285,82";"281,64"
"36330";"SAND HAVAIANAS TOP ROSE GOLD 39 40";"800";"18,000";"567,46";"544,47"
"36329";"SAND HAVAIANAS TOP ROSE GOLD 41 42";"800";"2,000";"63,98";"61,89"
"36227";"SAND HAVAIANAS TOP TIRAS CAFE 35 36";"800";"7,000";"223,93";"215,57"
"36226";"SAND HAVAIANAS TOP TIRAS CAFE 37 38";"800";"16,000";"511,84";"495,12"
"36224";"SAND HAVAIANAS TOP TIRAS CAFE 39 40";"800";"11,000";"351,89";"335,17"
"36225";"SAND HAVAIANAS TOP TIRAS CAFE 41 42";"800";"23,000";"725,32";"708,60"
"23530";"SAND HAVAIANAS TOP VDE PATRIA 35 36";"800";"2,000";"71,98";"71,98"
"23550";"SAND HAVAIANAS TRACK GO 39/40";"800";"1,000";"35,99";"35,99"
"23552";"SAND HAVAIANAS TRACK GO 43/44";"800";"4,000";"143,96";"143,96"
"23557";"SAND HAVAIANAS TRAD AZL 41 42";"800";"12,000";"335,88";"331,88"
"9036";"SAND HAVAIANAS TRAD AZUL 35 36";"800";"11,000";"307,89";"307,89"
"9037";"SAND HAVAIANAS TRAD AZUL 37 38";"800";"7,000";"195,93";"195,93"
"9038";"SAND HAVAIANAS TRAD AZUL 39 40";"800";"3,000";"83,97";"83,97"
"9039";"SAND HAVAIANAS TRAD AZUL 43/44";"800";"4,000";"111,96";"111,96"
"23559";"SAND HAVAIANAS TRAD PTO 27 28";"800";"1,000";"27,99";"27,99"
"23562";"SAND HAVAIANAS TRAD PTO 37 38";"800";"11,000";"307,89";"307,89"
"23567";"SAND HAVAIANAS TUBE BRISA LILAS 35/36";"800";"1,000";"24,99";"24,99"
"23571";"SAND HAVAIANAS TUBE DOURADO 33/34";"800";"1,000";"24,99";"24,99"
"23573";"SAND HAVAIANAS TUBE DOURADO 37/38";"800";"1,000";"24,99";"24,99"
"23575";"SAND HAVAIANAS TUBE PINK 35/36";"800";"3,000";"74,97";"74,97"
"23576";"SAND HAVAIANAS TUBE PINK LEMONADE 33/34";"800";"1,000";"24,99";"24,99"
"23581";"SAND HAVAIANAS TUBE PTA 35/36";"800";"3,000";"74,97";"74,97"
"23582";"SAND HAVAIANAS TUBE PTA 37/38";"800";"1,000";"24,99";"24,99"
"37376";"SAND IPA CARTAGO MONT PTO MAR 39";"800";"1,000";"67,99";"67,99"
"37378";"SAND IPA CARTAGO MONT PTO MAR 40";"800";"1,000";"67,99";"67,99"
"37382";"SAND IPA CARTAGO MONT PTO MAR 41";"800";"3,000";"203,97";"203,97"
"37387";"SAND IPA CARTAGO MONT PTO MAR 43 44";"800";"1,000";"67,99";"67,99"
"34858";"SAND IPA MORMAI TROP 39 40 AZL VRM";"800";"2,000";"107,98";"107,98"
"34112";"SAND IPA MORMAII TROP PTO VDE 39 40 PTO VDE 39 40";"800";"3,000";"158,97";"158,97"
"34111";"SAND IPA MORMAII TROP PTO VDE 41 42 PTO VDE 41 42";"800";"5,000";"264,95";"264,95"
"34110";"SAND IPA MORMAII TROP PTO VDE 43 44 PTO VDE 43 44";"800";"3,000";"158,97";"158,97"
"23964";"SAND IPA RIDER FEEL AZL VRD 39 40 ";"800";"2,000";"83,98";"83,98"
"23965";"SAND IPA RIDER FEEL AZL VRD 41 42";"800";"2,000";"83,98";"83,98"
"36601";"SAND IPAN CLAS AZ BCO 43 44";"800";"7,000";"181,93";"181,93"
"35606";"SAND IPANEMA AD AZ 39 40";"800";"2,000";"79,98";"79,98"
"23591";"SAND IPANEMA ANATOMICA SURF AZ/BR 39/40";"800";"1,000";"27,99";"27,99"
"23592";"SAND IPANEMA ANATOMICA SURF AZ/BR 41/42";"800";"2,000";"55,98";"55,98"
"23645";"SAND IPANEMA BARBIE ENCANTO RS/RS 27/28";"800";"2,000";"69,98";"69,98"
"23646";"SAND IPANEMA BARBIE ENCANTO RS/RS 29/30";"800";"1,000";"34,99";"34,99"
"23647";"SAND IPANEMA BARBIE ENCANTO RS/RS 31/32";"800";"1,000";"34,99";"34,99"
"35343";"SAND IPANEMA BRA BCO AZL 40";"800";"3,000";"119,97";"119,97"
"35344";"SAND IPANEMA BRA BCO AZL 41";"800";"4,000";"159,96";"159,96"
"35345";"SAND IPANEMA BRA BCO AZL 42";"800";"1,000";"39,99";"39,99"
"35339";"SAND IPANEMA BRA PTO BCO 43 44";"800";"1,000";"39,99";"39,99"
"36435";"SAND IPANEMA BRASIL AD BC BC 39 40";"800";"3,000";"119,97";"119,97"
"36417";"SAND IPANEMA BRASIL AD BC BC 41 42";"800";"7,000";"279,93";"279,93"
"36452";"SAND IPANEMA BRASIL AD BC BC 43 44";"800";"3,000";"119,97";"119,97"
"23662";"SAND IPANEMA BRASIL AD BC/BC 37/38";"800";"2,000";"79,98";"79,98"
"36454";"SAND IPANEMA BRASIL AZ BC 37 38";"800";"1,000";"39,99";"39,99"
"35599";"SAND IPANEMA BRASIL AZ BC 39 40";"800";"2,000";"79,98";"79,98"
"36818";"SAND IPANEMA BRASIL AZ BC 41 42";"800";"1,000";"39,99";"39,99"
"23664";"SAND IPANEMA BRASIL BC/RS 35";"800";"1,000";"39,99";"39,99"
"23665";"SAND IPANEMA BRASIL BC/RS 36";"800";"1,000";"39,99";"39,99"
"36513";"SAND IPANEMA BRASIL CHIC AZ AZ VD 3";"800";"1,000";"38,99";"38,99"
"37426";"SAND IPANEMA BRASIL PT PT 39 40";"800";"1,000";"39,99";"39,99"
"23677";"SAND IPANEMA BRASIL RS/RS/VD 37/38";"800";"2,000";"79,98";"79,98"
"34149";"SAND IPANEMA BRASIL RSA RSA 35";"800";"3,000";"119,97";"119,97"
"34148";"SAND IPANEMA BRASIL RSA RSA 36";"800";"1,000";"39,99";"39,99"
"34147";"SAND IPANEMA BRASIL RSA RSA 37 38";"800";"1,000";"39,99";"39,99"
"34161";"SAND IPANEMA CARTAGO ARIZONA MAR 37 38";"800";"1,000";"59,99";"59,99"
"34873";"SAND IPANEMA CARTAGO ARIZONA PTO CZA 37 38";"800";"2,000";"119,98";"119,98"
"34872";"SAND IPANEMA CARTAGO ARIZONA PTO CZA 39";"800";"1,000";"59,99";"59,99"
"23694";"SAND IPANEMA CARTAGO ATLANTA 40";"800";"1,000";"52,39";"52,39"
"35600";"SAND IPANEMA CLAS AZ BC 39 40";"800";"3,000";"74,97";"74,97"
"35598";"SAND IPANEMA CLASS AZ BC 41 42";"800";"2,000";"51,98";"51,98"
"35610";"SAND IPANEMA CLASS VIO LL 27 28";"800";"1,000";"24,99";"24,99"
"23704";"SAND IPANEMA CLASSIC AZ/AZ 37/38";"800";"1,000";"25,99";"25,99"
"23705";"SAND IPANEMA CLASSIC AZ/AZ 39/40";"800";"4,000";"103,96";"103,96"
"23706";"SAND IPANEMA CLASSIC AZ/AZ 41/42";"800";"2,000";"51,98";"51,98"
"23709";"SAND IPANEMA CLASSIC BC 37/38";"800";"1,000";"25,99";"25,99"
"23711";"SAND IPANEMA CLASSIC BC 41/42";"800";"2,000";"51,98";"51,98"
"23712";"SAND IPANEMA CLASSIC BC 43/44";"800";"4,000";"103,96";"103,96"
"23732";"SAND IPANEMA CLASSIC INF AZ/AZ 27/28";"800";"3,000";"74,97";"74,97"
"23733";"SAND IPANEMA CLASSIC INF AZ/AZ 29/30";"800";"4,000";"99,96";"99,96"
"23734";"SAND IPANEMA CLASSIC INF AZ/AZ 31/32";"800";"2,000";"49,98";"49,98"
"23737";"SAND IPANEMA CLASSIC INF ROSA 27/28";"800";"1,000";"24,99";"24,99"
"23738";"SAND IPANEMA CLASSIC INF ROSA 29/30";"800";"1,000";"24,99";"24,99"
"23739";"SAND IPANEMA CLASSIC INF ROSA 31/32";"800";"8,000";"199,92";"199,92"
"23741";"SAND IPANEMA CLASSIC INF VIO/LL 31/32";"800";"1,000";"24,99";"24,99"
