CODIGO_EMPRESA;NUMERO_ACORDO;NUMERO_PROCESSO;CODIGO_FORNECEDOR;FORNECEDOR;DESCRICAO_ACORDO;DATA_EMISSAO;COMPRADOR;STATUS_ACORDO;SITUACAO_FINANCEIRA;TIPO_ACORDO;CODIGO_PRODUTO;QTD_UTILIZADA_VERBA;DATA_FINAL_VERBA;PROXIMO_VENCIMENTO;ULTIMO_RECEBIMENTO;NUMERO_NF;NUMERO_PEDIDO_SUPRIMENTO;VALOR_ACORDO;VLR_EM_ABERTO;VLR_FIN_VENCIDO;VLR_JA_QUITADO;VALOR_SALDO_ACORDO;VALOR_UTILIZADO_PRODUTO;TOTAL_PARCELAS;PARCELAS_PAGAS;PARCELAS_PENDENTES
8;21;9808;6644;ONIZ DISTRIBUID LTDA SCJ;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;4178;10;05/07/2026;03/09/2026;;;;R$ 258,00;R$ 258,00;R$ 0,00;R$ 0,00;R$ 198,00;R$ 60,00;1;0;1
11;21;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;6937;9;12/07/2026;03/09/2026;;;;R$ 13,50;R$ 13,50;R$ 0,00;R$ 0,00;R$ 0,00;R$ 13,50;1;0;1
12;21;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;6870;12;12/07/2026;03/09/2026;;;;R$ 36,00;R$ 36,00;R$ 0,00;R$ 0,00;R$ 24,00;R$ 12,00;1;0;1
12;21;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;6871;24;12/07/2026;03/09/2026;;;;R$ 36,00;R$ 36,00;R$ 0,00;R$ 0,00;R$ 12,00;R$ 24,00;1;0;1
13;21;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;6870;14;12/07/2026;03/09/2026;;;;R$ 22,00;R$ 22,00;R$ 0,00;R$ 0,00;R$ 8,00;R$ 14,00;1;0;1
13;21;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;6871;8;12/07/2026;03/09/2026;;;;R$ 22,00;R$ 22,00;R$ 0,00;R$ 0,00;R$ 14,00;R$ 8,00;1;0;1
14;21;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;4120;3;12/07/2026;03/09/2026;;;;R$ 1,50;R$ 1,50;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1,50;1;0;1
17;21;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;8639;8;12/07/2026;03/09/2026;;;;R$ 10,80;R$ 10,80;R$ 0,00;R$ 0,00;R$ 1,20;R$ 9,60;1;0;1
17;21;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;8640;1;12/07/2026;03/09/2026;;;;R$ 10,80;R$ 10,80;R$ 0,00;R$ 0,00;R$ 9,60;R$ 1,20;1;0;1
18;21;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;6865;7;12/07/2026;03/09/2026;;;;R$ 3,50;R$ 3,50;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3,50;1;0;1
900;21;601;9472;FORFEST IND DE DESCARTAVEIS LTDA;CAMAROTE GOLD 2026;06/02/2026;NUJUD;EM ANDAMENTO;EM ABERTO;VERBA EXTRA;;;;06/03/2026;;;;R$ 3.000,00;R$ 3.000,00;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;6;0;6
1;22;8093;16061;ERVATEIRA REI VERDE LTDA;FINALIDADE SELL OUT;01/06/2026;NIDAL;CONCLUIDO;QUITADO;VERBA EXTRA;;;;;01/07/2026;;;R$ 1.672,00;R$ 0,00;R$ 0,00;R$ 1.672,00;R$ 0,00;R$ 0,00;1;1;0
2;22;6447;12257;PARATI IND.COM.DE ALIMENTOS LTDA;Sell out;30/03/2026;WERTER;CONCLUIDO;QUITADO;VERBA EXTRA;;;;;29/04/2026;;;R$ 533,00;R$ 0,00;R$ 0,00;R$ 533,00;R$ 0,00;R$ 0,00;1;1;0
3;22;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;11705;9,59;29/03/2026;;24/07/2026;;;R$ 23,98;R$ 0,00;R$ 0,00;R$ 23,98;R$ 0,01;R$ 23,98;1;1;0
4;22;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;35692;2;12/07/2026;03/09/2026;;;;R$ 3,00;R$ 3,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3,00;1;0;1
5;22;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;36116;5;12/07/2026;03/09/2026;;;;R$ 7,50;R$ 7,50;R$ 0,00;R$ 0,00;R$ 0,00;R$ 7,50;1;0;1
6;22;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;6865;2;12/07/2026;03/09/2026;;;;R$ 1,00;R$ 1,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1,00;1;0;1
7;22;9808;6644;ONIZ DISTRIBUID LTDA SCJ;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;12404;18;05/07/2026;03/09/2026;;;;R$ 144,00;R$ 144,00;R$ 0,00;R$ 0,00;R$ 36,00;R$ 108,00;1;0;1
7;22;9808;6644;ONIZ DISTRIBUID LTDA SCJ;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;33491;6;05/07/2026;03/09/2026;;;;R$ 144,00;R$ 144,00;R$ 0,00;R$ 0,00;R$ 108,00;R$ 36,00;1;0;1
8;22;9808;6644;ONIZ DISTRIBUID LTDA SCJ;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;12404;4;05/07/2026;03/09/2026;;;;R$ 66,00;R$ 66,00;R$ 0,00;R$ 0,00;R$ 42,00;R$ 24,00;1;0;1
8;22;9808;6644;ONIZ DISTRIBUID LTDA SCJ;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;33491;7;05/07/2026;03/09/2026;;;;R$ 66,00;R$ 66,00;R$ 0,00;R$ 0,00;R$ 24,00;R$ 42,00;1;0;1
