CODIGO_PRODUTO;DESCRICAO_PRODUTO;QTD_INCINERADA;CODIGO_FORNECEDOR;FORNECEDOR
3481;BEIJINHO STA CLARA 400G;22;10421;COOP SANTA CLARA LTDA IND DE LATICINIOS
23382;SALG MAIS KRO PRESUNTO 100G;22;4879;SEMALO IND E COMERCIO ALIMENTOS LTDA
2957;MOLHO PIMENTA KNORR CICA 150ML;22;17017;ZAFFALON E CIA LTDA
2912;MASSA C OVOS ISABELA 500G FURADINHO;22;7995;M DIAS BRANCO S.A IND E COM DE ALIMENTOS
3259;SALG TAKIS 49G FUEGO;22;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
1691;MARSHMALLOWS FOFS 220G IOGURTE MORANGO;22;7493;FLORESTAL ALIMENTOS S.A.
868;MAIONESE HELLMANNS SH 1KG;22;17017;ZAFFALON E CIA LTDA
3871;CERV SKOL BEATS RED LT 269ML MIX;22;9638;CRBS AS CDD PELOTAS
5269;CR DENTAL ORAL B 123 70G;22;6644;ONIZ DISTRIBUID LTDA SCJ
1506;CHOC KI KAKAU 475G BOLI BOL;21;4591;KI-KAKAU IND E COM DE CHOCOLATES LTDA
416;ENERG ELEV PET 2 L ZERO;21;6424;BEBIDAS FRUKI LTDA
2764;MAIONESE FUGINI SH BICO 180G VERDE;21;5791;FUGINI ALIMENTOS LTDA
2412;PALMITO MUCHO GUSTO VD 300G TOLETE PALMEIRA REAL;21;13490;IMPORT FOODS COMERCIAL E IMPORTADORA LTD
2071;CAFE SOL 3C LT 300G C LEITE;21;8702;CAFE TRES CORACOES S.A
2259;CAPSULA 3C 50G C 10 CERRADO MINEIRO;21;8702;CAFE TRES CORACOES S.A
2677;FARINHA MANDIOCA YOKI 500G;21;3528;FABIANO ZAFFALON E CIA.
22687;RAC CANISTER ALMONDEGA 7K;21;13063;DALI PET DIST ALIM E ACESS PEQ ANIM LTDA
7221;ODORIZANTE PROAUTO 60G GEL TUTTI FRUTI;21;13452;AZ DISTRIBUIDORA E REPRES EIRELI
1986;CAPPUCCINO PRONTO 3C 260ML BALANCE;21;8702;CAFE TRES CORACOES S.A
91;REFRE PO FRISCO 18G LIMAO;21;8702;CAFE TRES CORACOES S.A
5206;CR DEN COLGATE LUMIN WHITE 70G CARVAO ATIVADO;21;2428;COLGATE PALMOLIVE COMERCIAL LTDA
2905;MASSA C OVOS ISABELA 500G NIN LARGO;21;7995;M DIAS BRANCO S.A IND E COM DE ALIMENTOS
17390;DET PO APYCE SH 800G AZUL;21;16877;UNIDASUL DISTRIBUIDORA ALIMENTICIAS E A
318;BEB A TAL DA CASTANHA 1L ORGAN ORIGINAL;21;8702;CAFE TRES CORACOES S.A
3600;TEMP CANELA PO KITANO 50G;21;3528;FABIANO ZAFFALON E CIA.
812;REFRIG FANTA UVA PET 2L;21;15441;SPAL IND BRAS BEBIDAS AS
6228;GEL DENT SORRISO FRESH 90G XTRA MINT;21;15318;PODAL IND E COM DE ALIMENTOS LTDA
787;CACAU PO TRISANTI 1 005KG;21;16989;SANTI INDUSTRIA E COMERCIO LTDA
8285;SH PANTENE 175ML CACHOS HIRAVITA;21;6644;ONIZ DISTRIBUID LTDA SCJ
2688;FARINHA MILHO SAUDAVEL 1KG MEDIA;20;15301;CARLOS ENRIQUE WATERMANN EIRELI
4188;AMAC DOWNY CONC 500ML BRISA DE VERAO;20;6644;ONIZ DISTRIBUID LTDA SCJ
848;MAIONESE KONSUMO SH 6G C 189;20;2980;KONSUMO INDUSTRIA E COMERCIO LTDA
3089;MOSTARDA FUGINI BICO 180G;20;5791;FUGINI ALIMENTOS LTDA
23430;SALG TORREZNO BAC 45G;20;4879;SEMALO IND E COMERCIO ALIMENTOS LTDA
874;MAIONESE ODERICH SH 1KG;20;15520;CONSERVAS ODERICH SA
1247;CHOC BARRA NEUGEBAUER 80G AO LEITE;20;6703;VONPAR ALIMENTOS S.A
1656;WAFFER ISABELA 100G CHOC;20;7995;M DIAS BRANCO S.A IND E COM DE ALIMENTOS
24323;SH GENIAL PET 2 EM 1 500ML;20;14683;GENIAL QUIMICA VETERINARIA
987;OLEO SINHA GIRASSOL PET 900ML;20;15400;CARAMURU ALIMENTOS LTDA.
2712;FARINHA TAPIOCA BEIJUBOM 500G;20;9858;AMIDOS SAO JOAO LTDA
1059;ALFAJOR EL AGUILA 60G CHOC BRANCO;20;13406;GRACIELA MATOSAS LUQUE DE KUCZURA
1222;BALA GOMA GOMUTCHO 1KG YOGURT;20;9969;RICLAN S.A
1727;MARSHMALLOW FINI 250G TORCAO;20;12104;SANCHEZ CANO LTDA
16827;CR DENT COLGATE 180G CARVAO;20;15318;PODAL IND E COM DE ALIMENTOS LTDA
1153;BALA TOFFANO T FFRUT SORT 250G;20;14838;TOFFANO PRODUTOS ALIMENTICIOS LTDA
1625;BOLO BAUDUCCO ROLL 34G CHOC;19;15497;PANDURATA ALIMENTOS LTDA
3853;ENERG ELEV LT 473ML MOR MELANCIA;19;6424;BEBIDAS FRUKI LTDA
2260;CAPSULA 3C 50G C 10 ORGANICO;19;8702;CAFE TRES CORACOES S.A
569;REPOS POWERADE 500ML LIMAO;19;15441;SPAL IND BRAS BEBIDAS AS
2791;FAROFA CASEIRISSIMA YOKI 200G COSTELINHA;19;3528;FABIANO ZAFFALON E CIA.
880;REFRIG FRUKI GUARAN LT 350ML GUARA C BERGA;19;6424;BEBIDAS FRUKI LTDA
3833;MAIONESE HELLMANNS 3EM1 360G;19;10617;MENON COMERCIO E REPRESENTACOES LTDA
23005;SAB GENIAL PET 80G ERVA STA MARIA;19;14683;GENIAL QUIMICA VETERINARIA
6116;FRALDA BAS SUP NOVA PAMPERS G 26UN;19;6644;ONIZ DISTRIBUID LTDA SCJ
2051;CHA MULTIERVAS REAL 10G CAPIM CIDREIRA;19;6364;MOINHOS UNIDOS BRASIL MATE S.A
22748;RAC SUPRA CODORNA POST 5K;19;13229;ALISUL ALIMENTOS SA
2047;CAFE SOL IGUACU LT LV200G PG190G TRAD;19;8702;CAFE TRES CORACOES S.A
83;AGUA TONICA ANTARCTICA PET 1L ZR;19;9638;CRBS AS CDD PELOTAS
3132;FARINHA AMENDOA EQUIL SAUDAVEL 200G;19;9648;EQUILIBRIO SAUDAVEL PROD NATURAIS EIRELI
3661;MOEDOR SAL ROSA EQUIL SAUDAVEL 80G CHIMICHURRI;19;9648;EQUILIBRIO SAUDAVEL PROD NATURAIS EIRELI
348;CHA ICE TEA LEAO PET 450ML LIMAO;19;15441;SPAL IND BRAS BEBIDAS AS
897;REFRIG FANTA LARANJA ZERO LT 350ML;19;15441;SPAL IND BRAS BEBIDAS AS
552;GATORADE ZERO 350ML LARANJA LIMA;19;9638;CRBS AS CDD PELOTAS
1675;WAFER ISABELA CHOCKS 100 8G CHOC BRANCO;19;7995;M DIAS BRANCO S.A IND E COM DE ALIMENTOS
387;ENERG MONSTER LT 473ML PACIFIC PUNCH;18;15441;SPAL IND BRAS BEBIDAS AS
8617;TINT COR E TON LOURO PLAT 1211;18;6962;CENTRAL DISTR OFERTAO DE ALIM LTDA
3554;SAL ROSA EQUIL SAUDAVEL TEMPER 250G FRANGO;18;13937;COMERCIAL PELOTAS IMP E EXP
409;ENERG ELEV PET 2 L ACAI COCO;18;6424;BEBIDAS FRUKI LTDA
1165;BISC COOKIE BAUDUCCO ORIG 60G;18;15497;PANDURATA ALIMENTOS LTDA
1870;PIRULITO FLORESTAL 200G CORACAO COLORIDO;18;7493;FLORESTAL ALIMENTOS S.A.
34846;ALVEJ BARBAREX 5L S CLORO;18;21220;SENIR EMBALAGENS LTDA
34434;DET PO TIXAN CONC 1 6KG PRIMAVERA;18;4434;QUIMICA AMPARO LTDA.
2817;FARINHA KIPOLENTA YOKI 500G;18;3528;FABIANO ZAFFALON E CIA.
365;CHOPP PROVINCIA LAGER 1 5L PURO MALTE;18;4488;CIA ANDINA INDUSTRIA DE BEBIDAS LTDA
1959;PACOCA ROLHA STO ANTONIO PT 135G ZERO;18;9694;D.S.A.INDUSTRIA E COMERCIO LTDA
629;SUCO DEL VALLE 100 P CENTO TP 1L UVA;18;15441;SPAL IND BRAS BEBIDAS AS
829;REFRIG SODA LIMONADA PET 2L;18;9638;CRBS AS CDD PELOTAS
1777;CHICLE PECCIN BLONG 200G TROPICAL;18;6362;PECCIN S.A.
2818;MASSA C OVOS STA FELICIDADE 500G PARAFUSO;18;16963;GERMANI ALIMENTOS LTDA
2269;CAPSULA STARBUCKS 53G C10 PIKE PLAC;18;15134;NESTLE BRASIL LTDA
538;GATORADE 500ML FRUTAS CITRICAS;18;9638;CRBS AS CDD PELOTAS
3113;CHIA EQUIL SAUDAVEL 200G;18;9648;EQUILIBRIO SAUDAVEL PROD NATURAIS EIRELI
2460;GRAO DE BICO ODERICH LT 220G;17;15520;CONSERVAS ODERICH SA
2833;PANETONE BAUDUCCO 400G GOTAS CHOCOLATE;17;15497;PANDURATA ALIMENTOS LTDA
2841;MAIONESE HELLMANNS SH 400G;17;17017;ZAFFALON E CIA LTDA
2440;POPCORN YOKI 100G MANTEIGA;17;3528;FABIANO ZAFFALON E CIA.
12179;ABS COTTONBABY SUAVE S ABAS C 8;17;6567;HIGIE-PLUS INDUSTRIA E COM.LTDA
2488;DOCE DIFRUTTI 400G MACA CANELA;17;12457;INDUSTRIA MIRIAM LTDA
34951;SUCO KAPO 200ML MELANCIA;17;15441;SPAL IND BRAS BEBIDAS AS
3950;AGUA SANIT Q BOA 1L;17;9499;INDUSTRIAS ANHEMBI LTDA.
17389;DET PO APYCE SH 4K ROSA;17;16877;UNIDASUL DISTRIBUIDORA ALIMENTICIAS E A
17450;DOCE N BONN PEZAO 1K PE MOLEQUE;17;3818;ALIMENTOS N BONN LTDA
2453;PEPINO CONS ODERICH VD 300G CASEIRO;17;15520;CONSERVAS ODERICH SA
742;REFRIG FRUKI PET 1 5 L CITRUS;17;6424;BEBIDAS FRUKI LTDA
23023;SAB LIQ BELEZA AMAZONIA 370ML FRUTAS VRM;17;8425;AMAZONIA BRASIL COSMETICOS LTDA
3125;CASTANHA DE CAJU 100G CARAMELIZADA LTE CONDENSADO;17;9648;EQUILIBRIO SAUDAVEL PROD NATURAIS EIRELI
3127;FAR CAST CAJU EQUIL SAUDAVEL 200G;17;9648;EQUILIBRIO SAUDAVEL PROD NATURAIS EIRELI
4230;AMPOLA PANTENE 45ML 3UN TRAT HIDRATA;17;6644;ONIZ DISTRIBUID LTDA SCJ
6879;LIMP MULTIUSO VEJA 10PCT DESC 500ML FLORAL;17;15318;PODAL IND E COM DE ALIMENTOS LTDA
401;ENERG ELEV LT 269ML MACA VERDE;17;6424;BEBIDAS FRUKI LTDA
36194;SH ELSEVE COLLAGEN LIFTER 400ML;17;6962;CENTRAL DISTR OFERTAO DE ALIM LTDA
36813;ARROZ BCO BOM DE PANELA TP1 5KG;17;3712;CEREALISTA STRECK LTDA
3635;SAL MOIDO CBS 1KG;17;16877;UNIDASUL DISTRIBUIDORA ALIMENTICIAS E A
8190;SH DOVE 400ML OLEO MICELAR;17;17017;ZAFFALON E CIA LTDA
7862;SABAO PO SURF 800G ROSA E FLOR LIS;17;17017;ZAFFALON E CIA LTDA
2588;MOLHO TOM FUGINI SH 300G BOLONHESA;17;5791;FUGINI ALIMENTOS LTDA
14;AGUA SABORIZ H2OH PET 1 5L LIMAO;17;9638;CRBS AS CDD PELOTAS
2898;MOLHO MADEIRA ELEGE 200G;17;9379;LACTALIS BRASIL COM IMP EXP LTDA
844;REFRIG ANTARCTICA PET 600ML GUARANA;17;9638;CRBS AS CDD PELOTAS
