CODIGO_PRODUTO;DESCRICAO_PRODUTO;ESTOQUE_ATUAL_CD;QTD_PEDIDOS;VEZES_ATENDIDO_TOTAL;VEZES_ATENDIDO_PARCIAL;VEZES_CORTADO_CANCELADO;VEZES_EM_TRANSITO;VEZES_EM_SEPARACAO;VEZES_NAO_ATENDIDO;QTD_NFS_EMITIDAS;TOTAL_QTD_SOLICITADA;TOTAL_QTD_EXPEDIDA;ULTIMA_EXPEDICAO
3778;VINAGRE MACA ROSINA 750ML;204;131;22;2;100;0;7;0;24;2460;438;03/08/2026
2240;ARROZ PARBO PRATO FINO TP1 5KG;24;111;2;2;99;1;7;0;5;738;60;03/08/2026
5302;CR PENT SEDA 300ML CACH DEFINIDOS;0;108;8;1;99;0;0;0;9;1836;180;30/07/2026
17175;DESINF GOTA LIMPA 2L LAVANDA;438;147;37;0;99;2;9;0;39;1632;570;03/08/2026
6799;LEITE SANTA CLARA 1L ZERO LACTOSE;60;186;73;2;99;0;12;0;74;8556;4824;30/07/2026
647;WHISKY GREEN VALLEY VD 1L;6;124;7;2;99;0;16;0;9;185;35;03/08/2026
23371;SALG KRUKS 35G CHURRASCO;1090;131;27;2;98;0;4;0;29;3150;541;03/08/2026
13401;BISC DOCE NESTLE CHOCO TRIO 90G AVELA;240;102;0;0;97;0;5;0;0;2568;0;03/08/2026
169;CERV HEINEKEN LT 473ML;4224;110;2;1;97;0;10;0;3;14256;456;03/08/2026
18740;FRALDA DESC FERINHA HIPER C 40 XXG;126;111;11;0;97;1;2;0;12;756;138;03/08/2026
2609;MOLHO TOM ODERICH PIZZA SH 1 010KG;252;122;20;1;97;0;4;0;21;2244;408;03/08/2026
36166;MOLHO TOM SALSARETTI VD 500G CLASSICO;0;98;0;0;97;0;1;0;0;3144;0;24/07/2026
2452;PEPINO CONSERVA ADIGEL VD 300G;0;101;1;0;97;0;3;0;1;1710;15;30/07/2026
803;KETCHUP ODERICH SH 1K;1644;134;32;1;96;1;4;0;33;2322;810;03/08/2026
20363;MAC INST NISSIN C 6 L P GAL CAIP;0;148;45;7;96;0;0;0;47;3600;1440;01/08/2026
38619;SH DOVE UMECTACAO E COCO 370ML;0;102;0;0;96;0;6;0;0;102;0;30/07/2026
6705;LAVA ROUPA GIRANDO SOL 2L COCO;0;104;8;1;95;0;0;0;9;816;102;29/07/2026
795;REFRIG COCA COLA PET 2L ZERO;0;153;49;7;95;0;2;0;54;25744;14592;01/08/2026
2229;CAPSULA DOLCE GUSTO 70G C 10 LUNGO;0;95;1;0;94;0;0;0;1;828;6;29/07/2026
23370;SALG KRUKS 35G BACON;972;120;21;2;94;1;2;0;24;2440;313;03/08/2026
6782;LEITE UHT TIROL C TAMPA 1L DESN;348;158;53;2;93;0;10;0;47;10668;3480;30/07/2026
4230;AMPOLA PANTENE 45ML 3UN TRAT HIDRATA;0;94;1;0;92;0;1;0;1;122;9;03/08/2026
847;REFRIG COCA COLA PET 600ML;36;173;68;7;92;3;3;0;76;19608;9410;03/08/2026
2491;KETCHUP ODERICH BISNAG 200G TRAD;71;119;24;3;91;0;1;0;27;6480;2136;03/08/2026
10;REFRIG COCA COLA PET 2L;8;252;143;13;91;1;4;0;155;64744;59492;01/08/2026
52;AGUA MIN FLORESTA PET 5L S GAS;24;173;69;4;90;0;10;0;69;2532;1452;03/08/2026
4215;AMAC YPE 2L CARINHO;744;102;1;0;90;0;11;0;1;720;6;30/07/2026
1486;BISC RECH PASSATEMPO 130G CHOC;350;95;2;0;90;0;3;0;2;7700;140;03/08/2026
3948;AGUA SANIT GOTA LIMPA 1L;924;128;32;1;89;2;4;0;34;3384;1152;03/08/2026
783;ACHOC PO NESCAU SH 2 01KG;64;132;31;2;88;0;11;0;32;2156;412;03/08/2026
3796;MIST P PAO QUEIJO APTI SH 250G PARMESAO;24;104;14;1;88;0;1;0;14;2316;396;03/08/2026
782;ACUCAR REFINADO UNIAO 1KG;90;119;21;1;87;0;10;0;20;2410;560;03/08/2026
78;AGUA SABORIZ H2OH PET 500ML LIMAO;0;99;12;0;87;0;0;0;12;1464;348;21/07/2026
2477;KETCHUP FUGINI SH C BICO 180G PICANTE;736;109;16;1;87;0;5;0;17;4128;672;01/08/2026
21119;MOLHO TOM TARANTELLA TRAD 1 7KG;19;93;3;0;87;0;3;0;3;558;18;03/08/2026
33286;AMAC APYCE 5L TRAD AZL;6;93;0;0;86;0;7;0;0;1248;0;22/07/2026
2655;CREME NUTELLA FERRERO 140G;0;86;0;0;86;0;0;0;0;860;0;29/07/2026
17186;DESINF GOTA LIMPA 5L LAVANDA;546;116;19;2;86;2;7;0;23;848;164;03/08/2026
2370;ERVILHA ODERICH LT 200G;1056;107;16;1;86;0;4;0;17;6024;1896;01/08/2026
38790;TEMP MAGGI TEMP EMPANA PARMESAO 60G;0;92;4;2;86;0;0;0;6;2208;120;30/07/2026
13514;BLO LIXA P UNHA BONITTA;0;102;0;0;85;0;17;0;0;148;0;03/08/2026
13699;BOMBOM BEL SORT 180G;270;90;0;0;85;0;5;0;0;5190;0;03/08/2026
2206;CAPSULA DOLCE GUSTO 110G C 10 AU LAIT VANILLA;120;92;5;0;85;1;1;0;6;582;60;03/08/2026
2507;KETCHUP HELLMANNS BISN 380G PICANTE;0;86;0;1;84;0;1;0;1;827;5;17/07/2026
1711;PIPOCA DOCE KEVYTOS 13G;0;117;28;5;84;0;0;0;29;27300;7000;28/07/2026
808;CHOC PO TRISANTI 50 CACAU 1 005KG;0;93;9;0;83;0;1;0;9;588;54;30/07/2026
796;REFRIG COCA COLA E FANTA GUARANA 2L;0;83;0;0;83;0;0;0;0;294;0;22/07/2026
2385;LENTILHA BELLA DICA 400G;0;82;0;0;82;0;0;0;0;1044;0;21/07/2026
2777;ACUCAR CONFEITEIRO CBS 500G;0;92;10;1;81;0;0;0;11;726;108;01/08/2026
1013;BATATA PALHA YOKI TRAD 70G;0;94;11;2;81;0;0;0;13;4728;2328;01/08/2026
114;CERV POLAR EXPORT GF 1L RETORNAVEL;132;87;0;0;81;0;6;0;0;1824;0;03/08/2026
811;CHOC PO TRISANTI 70 CACAU 1 005KG;0;92;10;0;81;0;1;0;10;552;60;30/07/2026
16844;CR DEN COLGATE T ACAO XTRA 120G WHITE;816;88;3;1;81;0;3;0;4;9648;360;03/08/2026
5742;ENERG MONSTER LT 473ML FIESTA MANGO;0;81;0;0;81;0;0;0;0;486;0;28/07/2026
964;OLEO LIZA GIRASSOL 900ML;560;97;15;0;81;1;0;0;15;2620;640;03/08/2026
986;OLEO SOJA VITALIV PET 900ML;32760;125;36;3;81;0;5;0;39;35720;28600;01/08/2026
790;REFRIG CHARRUA GUARANA PET 2L;1844;175;83;4;81;3;4;0;89;25544;19800;03/08/2026
20154;LIMP VEJA M USO 750ML ORIG;48;81;0;0;80;0;1;0;0;1008;0;03/08/2026
2814;POLENTA PERDIZ 500G INST TEMP;24;91;10;0;80;0;1;0;10;1884;168;03/08/2026
33255;REFRIG CHARRUA PET 3L GUARANA;931;182;84;11;80;2;5;0;95;7926;5058;03/08/2026
