DEPARTAMENTO;CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMPRESA;STATUS;EMBL_TRANSFERENCIA;ESTOQUE;PEDIDOS_PENDENTES;ESTOQUE_MINIMO;DATA_CADASTRO_PRODUTO;DIAS_DESDE_CADASTRO
MERCEARIA;38352;CAFE SOL IGUACU SH 40G GTS 10PCTO CLASSICO;2;ATIVO;24;113;0;96;06/05/2026;8
MERCEARIA;38352;CAFE SOL IGUACU SH 40G GTS 10PCTO CLASSICO;3;ATIVO;24;238;0;144;06/05/2026;8
MERCEARIA;38352;CAFE SOL IGUACU SH 40G GTS 10PCTO CLASSICO;4;ATIVO;24;120;0;48;06/05/2026;8
MERCEARIA;38352;CAFE SOL IGUACU SH 40G GTS 10PCTO CLASSICO;5;ATIVO;24;120;0;72;06/05/2026;8
MERCEARIA;38352;CAFE SOL IGUACU SH 40G GTS 10PCTO CLASSICO;6;ATIVO;24;232;0;96;06/05/2026;8
MERCEARIA;38352;CAFE SOL IGUACU SH 40G GTS 10PCTO CLASSICO;7;ATIVO;24;120;0;72;06/05/2026;8
MERCEARIA;38352;CAFE SOL IGUACU SH 40G GTS 10PCTO CLASSICO;8;ATIVO;24;120;0;72;06/05/2026;8
MERCEARIA;38352;CAFE SOL IGUACU SH 40G GTS 10PCTO CLASSICO;11;ATIVO;24;226;0;96;06/05/2026;8
MERCEARIA;38352;CAFE SOL IGUACU SH 40G GTS 10PCTO CLASSICO;12;ATIVO;24;229;0;96;06/05/2026;8
MERCEARIA;38352;CAFE SOL IGUACU SH 40G GTS 10PCTO CLASSICO;13;ATIVO;24;95;0;72;06/05/2026;8
MERCEARIA;38352;CAFE SOL IGUACU SH 40G GTS 10PCTO CLASSICO;14;ATIVO;24;118;0;72;06/05/2026;8
MERCEARIA;38352;CAFE SOL IGUACU SH 40G GTS 10PCTO CLASSICO;15;ATIVO;24;360;0;0;06/05/2026;8
MERCEARIA;38352;CAFE SOL IGUACU SH 40G GTS 10PCTO CLASSICO;16;ATIVO;24;0;0;0;06/05/2026;8
MERCEARIA;38352;CAFE SOL IGUACU SH 40G GTS 10PCTO CLASSICO;17;ATIVO;24;115;0;96;06/05/2026;8
MERCEARIA;38352;CAFE SOL IGUACU SH 40G GTS 10PCTO CLASSICO;18;ATIVO;24;120;0;96;06/05/2026;8
MERCEARIA;38352;CAFE SOL IGUACU SH 40G GTS 10PCTO CLASSICO;50;ATIVO;24;0;0;0;06/05/2026;8
MERCEARIA;38146;CAFE SOL NESCAFE VD 160G GTS 10G TRAD;1;ATIVO;12;61;0;12;16/04/2026;28
MERCEARIA;38146;CAFE SOL NESCAFE VD 160G GTS 10G TRAD;2;ATIVO;12;611;12;48;16/04/2026;28
MERCEARIA;38146;CAFE SOL NESCAFE VD 160G GTS 10G TRAD;3;ATIVO;12;606;0;60;16/04/2026;28
MERCEARIA;38146;CAFE SOL NESCAFE VD 160G GTS 10G TRAD;4;ATIVO;12;84;24;24;16/04/2026;28
MERCEARIA;38146;CAFE SOL NESCAFE VD 160G GTS 10G TRAD;5;ATIVO;12;26;120;24;16/04/2026;28
MERCEARIA;38146;CAFE SOL NESCAFE VD 160G GTS 10G TRAD;6;ATIVO;12;367;0;48;16/04/2026;28
MERCEARIA;38146;CAFE SOL NESCAFE VD 160G GTS 10G TRAD;7;ATIVO;12;75;36;24;16/04/2026;28
MERCEARIA;38146;CAFE SOL NESCAFE VD 160G GTS 10G TRAD;8;ATIVO;12;97;48;24;16/04/2026;28
