LOJA;DEPARTAMENTO;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;CUSTO_BRUTO;CUSTO_LIQUIDO;CODIGO_TRANSICAO
15;A CLASSIFICAR;35999;CONS ETIQ CHARQUE URUGUAIANA;A;0;0;7899481
15;A CLASSIFICAR;35990;CONS ETIQ COUCHE 100X50 106 TB;A;0;0;1017896
15;A CLASSIFICAR;36001;CONS ETIQ COUCHE 100X50 53MM CYAN;A;0;0;1021799
15;A CLASSIFICAR;36003;CONS ETIQ COUCHE 100X50 53MM ORANGE;A;0;0;1021798
15;A CLASSIFICAR;36007;CONS ETIQ COUCHE 100X50 53MM PURPLE;A;0;0;1021800
15;A CLASSIFICAR;36008;CONS ETIQ COUCHE 100X50 53MM RED;A;0;0;1021795
15;A CLASSIFICAR;36009;CONS ETIQ COUCHE AD 60X30 PIC LARAN;A;0;0;1006312
15;A CLASSIFICAR;36010;CONS ETIQ FLUOR COUCHE 100X100 90 M;A;57,87;46,22;7899524
15;A CLASSIFICAR;36128;CONS ETIQ GOND 105X35 35M AMARELA;A;0;0;0043894
15;A CLASSIFICAR;36129;CONS ETIQ GOND 105X40 40M BRC MIL;A;0;0;9951068
15;A CLASSIFICAR;36011;CONS ETIQ GOND 80X100 X40M BRANCA A;A;0;0;1022634
15;A CLASSIFICAR;38344;CONS ETIQ HAMBURGUER;A;0;0;0102643
15;A CLASSIFICAR;36012;CONS ETIQ LING FRANGO ALEGRETE;A;0;0;1001644
15;A CLASSIFICAR;36013;CONS ETIQ LING FRANGO URUGUAIANA;A;0;0;1017292
15;A CLASSIFICAR;36014;CONS ETIQ LING M C PIMENTA URUG;A;0;0;1000053
15;A CLASSIFICAR;36015;CONS ETIQ LING M C QUEIJO PROV ALEG;A;0;0;1000040
15;A CLASSIFICAR;36016;CONS ETIQ LING M C QUEIJO PROV URU;A;0;0;1000050
15;A CLASSIFICAR;36018;CONS ETIQ LING M CALAB BACON URU;A;0;0;1000057
15;A CLASSIFICAR;36019;CONS ETIQ LING M CORTADA FACA ALEGR;A;0;0;1017304
15;A CLASSIFICAR;36020;CONS ETIQ LING M CORTADA FACA URUG;A;0;0;1000058
15;A CLASSIFICAR;36021;CONS ETIQ LING M ITAQUI C 1000;A;0;0;1002112
15;A CLASSIFICAR;36022;CONS ETIQ LING M OVINA SUINA ALEG;A;0;0;1000045
15;A CLASSIFICAR;36023;CONS ETIQ LING M PIMENTAO URUG;A;0;0;1000055
15;A CLASSIFICAR;36017;CONS ETIQ LING M QUEIJO PROV ALEGR;A;0;0;1017311
15;A CLASSIFICAR;36024;CONS ETIQ LING M SAO BORJA 80X105;A;0;0;1014887
15;A CLASSIFICAR;36029;CONS ETIQ LING M SUINA FRANGO URUG;A;0;0;1000041
15;A CLASSIFICAR;36025;CONS ETIQ LING M SUINA OVINA URUG;A;0;0;1000056
15;A CLASSIFICAR;36028;CONS ETIQ LING M SUINA URUG;A;0;0;1000059
15;A CLASSIFICAR;36030;CONS ETIQ LING M TOMATE SC ALEGRET;A;0;0;1017307
15;A CLASSIFICAR;36032;CONS ETIQ LING M TOMATE SC URUG;A;0;0;1000052
15;A CLASSIFICAR;36038;CONS ETIQ LING MISTA ALEGRETE;A;0;0;1007396
15;A CLASSIFICAR;36034;CONS ETIQ LING MISTA C PIMENTA ALE;A;0;0;1017308
15;A CLASSIFICAR;36036;CONS ETIQ LING MISTA C PIMENTA URU;A;0;0;1017309
15;A CLASSIFICAR;36039;CONS ETIQ LING MISTA C PIMENTAO ALE;A;0;0;1017316
15;A CLASSIFICAR;36040;CONS ETIQ LING MISTA C PIMENTAO URU;A;0;0;1017310
15;A CLASSIFICAR;36033;CONS ETIQ LING MISTA C QUEIJO URUG;A;0;0;1017314
15;A CLASSIFICAR;36044;CONS ETIQ LING MISTA CALAB BACON AL;A;0;0;1000046
15;A CLASSIFICAR;36045;CONS ETIQ LING MISTA FRANGO ALEGRET;A;0;0;1017313
15;A CLASSIFICAR;36047;CONS ETIQ LING MISTA SUINA ALEGRETE;A;0;0;1017312
15;A CLASSIFICAR;36049;CONS ETIQ LING MISTA URUGUAIANA;A;,42;,41;7899079
15;A CLASSIFICAR;36050;CONS ETIQ LING QUEIJO C 1000;A;0;0;7803553
15;A CLASSIFICAR;36051;CONS ETIQ LINGUICA M C PIMENTA ALEG;A;0;0;1000042
15;A CLASSIFICAR;36052;CONS ETIQ LINGUICA M PIMENTAO ALEG;A;0;0;1000044
15;A CLASSIFICAR;36053;CONS ETIQ LINGUICA M TOMATE SC ALEG;A;0;0;1000043
15;A CLASSIFICAR;36133;CONS ETIQUETA LARANJA DATA DE VALID;A;0;0;1006253
15;A CLASSIFICAR;36054;CONS ETIQUETADORA METIQ 8 26;A;0;0;7801181
15;A CLASSIFICAR;36055;CONS ETQ AUT COUCHE 100X60 66M AMAR;A;0;0;1014473
15;A CLASSIFICAR;36056;CONS ETQ AUT COUCHE 100X60 66M AZUL;A;0;0;1014474
15;A CLASSIFICAR;36057;CONS ETQ AUT COUCHE 100X60 66M BRAN;A;0;0;1014476
15;A CLASSIFICAR;36058;CONS ETQ AUT COUCHE 100X60 66M LARA;A;0;0;1014471
15;A CLASSIFICAR;36060;CONS ETQ AUT COUCHE 100X60 66M ROXO;A;0;0;1023464
15;A CLASSIFICAR;36061;CONS ETQ AUT COUCHE 100X60 66M SALM;A;0;0;1014475
15;A CLASSIFICAR;36064;CONS ETQ AUT COUCHE 100X60 66M VERD;A;0;0;1014469
15;A CLASSIFICAR;36065;CONS ETQ AUT COUCHE 100X60 66M VERM;A;0;0;1014470
15;A CLASSIFICAR;36066;CONS ETQ COUCHE 100X160 BRANCA;A;0;0;1004806
15;A CLASSIFICAR;36067;CONS ETQ COUCHE 100X50 55MM GREEN;A;0;0;1021794
15;A CLASSIFICAR;35202;CONS EXP LOLLY CHAO ATAC 24 GANCHOS;A;0;0;1000300
15;A CLASSIFICAR;38249;CONS EXPOSITOR CARRETA 2 RD;A;0;0;0075824
15;A CLASSIFICAR;38370;CONS EXPOSITOR CIA DA MEIA;A;0;0;
15;A CLASSIFICAR;35195;CONS EXPOSITOR DISPLAY PC 14328;A;0;0;0091633
15;A CLASSIFICAR;38250;CONS EXPOSITOR FESTA JUNINA 1X1;A;0;0;9979475
15;A CLASSIFICAR;38248;CONS EXPOSITOR FESTA JUNINA 2X1;A;0;0;9978997
15;A CLASSIFICAR;36134;CONS EXTINTOR;A;0;0;7803380
15;A CLASSIFICAR;36068;CONS EXTRATOR GRAMPO METAL UN;A;0;0;0020862
15;A CLASSIFICAR;36070;CONS FACA CORTE MUNDIAL 20 14;A;0;0;1015365
15;A CLASSIFICAR;30081;CONS FAIXA TRESEMME;A;0;0;3306048
