DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;QUANTIDADE_DISPONIVEL;QTD_PEND_PEDCOMPRA;QTD_VENDIDA;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO;DATA_CADASTRO_PRODUTO
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10906;CONTRA FILE RESERVA KG S OSSO PAI;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10915;CORACAO ALCATRA FRIBOI PORC KG BDJ;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;10912;CORACAO BOV KG BDJ;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;10919;CORACAO FGO LAR CONG 700G;Ativo;24;1;3;0;34;0;0;11/06/2025
PERECIVEIS;MODELO;1;30135;COSTELA BOV RESF P/GRELHA KG;Ativo;1;1;0;0;0;0;0;21/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10927;COSTELA BRISTOT OVINA CONG KG BDJ;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;30130;COSTELA FRIBOI BOV CONG TIRAS KG BDJ;Ativo;1;1;0;0;0;0;0;21/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10928;COSTELA FRIBOI BOV CONG TIRAS KG PAI;Ativo;1;1;42,075;9;75,37;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10937;COSTELA RESE BOV CENTRO JAN RESF KG BDJ;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10924;COSTELA RESE BOV CENTRO JAN RESF KG GRILL AN10;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10925;COSTELA RESE BOV CENTRO JAN RESF KG INTEIRA;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;11435;COSTELA RESE BOV CENTRO JAN RESF KG MATAMBRE;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;11569;COSTELA RESE BOV CENTRO JAN RESF KG OSSO;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;34571;COSTELA RESE BOV CENTRO JAN RESF KG PREMIUM AN10;Ativo;1;1;0;0;0;0;0;05/11/2025
