CODIGO_FORNECEDOR;DESCRICAO_FORNECEDOR;COMPRADOR;PRAZO_PAGAMENTO_CADASTRO;PRAZO_MEDIO_ENTREGA_DIAS;FORMA_PAGAMENTO;FORMA_DEVOLUCAO;CONDICAO_DEVOLUCAO
5198;CARTOFILM EMBALAGENS LTDA;LAURINDO BISCUBI RAMOS;28/35/42;15;Faturamento;;
13762;CASPER DISTR DE PROD ALIMENTICIOS LTDA;SANDRO MARTINS VIANNA;28;15;Faturamento;BOLETO;30 DIAS
13762;CASPER DISTR DE PROD ALIMENTICIOS LTDA;WETER SONNENFELDET;28;15;Faturamento;BOLETO;30 DIAS
19433;CASSOL COMERCIO E TRANSPORTE DE GAS LTDA;NICOLAS AUGUSTO P. BORGES;14;5;Faturamento;;
6445;CASTELO PACK COMERCIO DE EMBALAGENS LTDA;LAURINDO BISCUBI RAMOS;28;10;Faturamento;BOLETO;30 DIAS
22557;CATAVENTO DISTRIBUIDORA DE LIVROS LTDA;NJOUD HASSAN ZITAWI;30/60;15;Faturamento;;
6580;CAXIENSE FRUTTI N BOX COM IMP LTDA;LAURINDO BISCUBI RAMOS;30;15;Faturamento;BOLETO;30 DIAS
18958;CDC INDUSTRIA DE COSMETICOS LTDA;JOAO BATISTA;28;15;Faturamento;BOLETO;30 DIAS
17702;CELARE ALIMENTOS COM DISTRIB LTDA;WETER SONNENFELDET;28;15;Faturamento;BOLETO;30 DIAS
6962;CENTRAL DISTR OFERTAO DE ALIM LTDA;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
2763;CENTRALSUL IND E COM PROD QUIMICOS LTDA;JOAO BATISTA;42;5;Faturamento;BOLETO;30 DIAS
16817;CENTRO PROD RIO GRANDENSE ESP IND LTDA;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
17001;CENTRO SUL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;WETER SONNENFELDET;28;15;Faturamento;BOLETO;30 DIAS
12743;CEREAIS RUVIARO LTDA;NIDAL TUBASI;28;15;Faturamento;BOLETO;30 DIAS
3555;CEREALE PRODUTOS INTEGRAIS LTDA.;WETER SONNENFELDET;60;15;Faturamento;BOLETO;30 DIAS
3712;CEREALISTA STRECK LTDA;NIDAL TUBASI;45;15;Faturamento;BOLETO;30 DIAS
5391;CERVEJARIA PETROPOLIS S/A;NICOLAS AUGUSTO P. BORGES;21;5;D;BOLETO;30 DIAS
15768;CERVEJARIA PETROPOLIS S/A;NICOLAS AUGUSTO P. BORGES;21;5;Faturamento;BOLETO;30 DIAS
10153;CHA PRENDA DO BRASIL IND E COM EIRELI;WETER SONNENFELDET;60;15;Faturamento;BOLETO;30 DIAS
4488;CIA ANDINA INDUSTRIA DE BEBIDAS LTDA;NICOLAS AUGUSTO P. BORGES;28;3;Faturamento;BOLETO;30 DIAS
15339;CID CENTRO INTEGRADO DE DISTRIBUICAO;JOAO BATISTA;35;5;Faturamento;BOLETO;30 DIAS
4296;CILASI ALIMENTOS S E A.;WETER SONNENFELDET;35;15;Faturamento;BOLETO;30 DIAS
14297;CIM - COMPANHIA DE IDEIAS E MARCAS LTDA.;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
10000;CIM COMPANHIA DE IDEIAS E MARCAS LTDA;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
11877;CIM COMPANHIA DE IDEIAS E MARCAS LTDA;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
8147;CIMED REMEDIOS S.A;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
8147;CIMED REMEDIOS S.A;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
17019;CIRANDA CULTURAL EDITORA E DISTRIBUIDORA LTDA;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
15877;CLAUDIO JOSE DUTRA JULIANA AZAMBUJA;LAURINDO BISCUBI RAMOS;28;10;Faturamento;BOLETO;30 DIAS
10265;CLEOMAR DEVENS LIDIANE MELLO DE MATTOS D;LAURINDO BISCUBI RAMOS;28;10;Faturamento;BOLETO;30 DIAS
6481;CLINK COM DE IMPORTACAO E EXPORTACAO LTD;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
7799;CLOROPLAST;LAURINDO BISCUBI RAMOS;30;10;Faturamento;;
8206;COALA ESSENCIAS AROMATICAS LTDA;JOAO BATISTA;30;10;Faturamento;BOLETO;30 DIAS
11522;COAMO AGROINDUSTRIAL COOPERATIVA;NIDAL TUBASI;21;10;Faturamento;BOLETO;30 DIAS
11522;COAMO AGROINDUSTRIAL COOPERATIVA;SANDRO MARTINS VIANNA;21;10;Faturamento;BOLETO;30 DIAS
21937;COEX INDUSTRIA E COMERCIO DE EMBALAGENS;LAURINDO BISCUBI RAMOS;28/35/42;15;Faturamento;;
2428;COLGATE PALMOLIVE COMERCIAL LTDA;JOAO BATISTA;28;5;Faturamento;BOLETO;30 DIAS
2427;COLGATE-PALMOLIVE COMERCIAL LTDA;JOAO BATISTA;28;5;Faturamento;BOLETO;30 DIAS
11172;COM DE LARANJAS VALE DO CAI LTDA;LAURINDO BISCUBI RAMOS;28;10;Faturamento;BOLETO;30 DIAS
