ORIGEM;EMPRESA;TITULO;PEDIDO;COD_FORNECEDOR;FORNECEDOR;COMPRADOR;DATA_EMISSAO;DATA_PREV_ENTREGA;PRAZO_PAGAMENTO_DIAS;PARCELA;DATA_VENCIMENTO;STATUS_PEDIDO;VALOR_NOMINAL;VALOR_PAGO;VALOR_PROJETADO
1-TITULO_REAL;15;540876/2-1;;10885;HIPER TEXTIL LTDA;BATISTA;01/06/2026;;30;1;01/07/2026;FATURADO;376,66;376,66;0
1-TITULO_REAL;15;541132/2-1;;10885;HIPER TEXTIL LTDA;BATISTA;01/06/2026;;30;1;01/07/2026;FATURADO;1290,24;1290,24;0
1-TITULO_REAL;15;540881/2-1;;10885;HIPER TEXTIL LTDA;BATISTA;01/06/2026;;30;1;01/07/2026;FATURADO;399,79;399,79;0
1-TITULO_REAL;15;540879/2-1;;10885;HIPER TEXTIL LTDA;BATISTA;01/06/2026;;30;1;01/07/2026;FATURADO;758,05;758,05;0
1-TITULO_REAL;15;540882/2-1;;10885;HIPER TEXTIL LTDA;BATISTA;01/06/2026;;30;1;01/07/2026;FATURADO;950,02;950,02;0
1-TITULO_REAL;15;540878/2-1;;10885;HIPER TEXTIL LTDA;BATISTA;01/06/2026;;30;1;01/07/2026;FATURADO;425,57;425,57;0
1-TITULO_REAL;15;540880/2-1;;10885;HIPER TEXTIL LTDA;BATISTA;01/06/2026;;30;1;01/07/2026;FATURADO;1184,25;1184,25;0
1-TITULO_REAL;15;540877/2-1;;10885;HIPER TEXTIL LTDA;BATISTA;01/06/2026;;30;1;01/07/2026;FATURADO;676,18;676,18;0
1-TITULO_REAL;15;540875/2-1;;10885;HIPER TEXTIL LTDA;BATISTA;01/06/2026;;30;1;01/07/2026;FATURADO;594,45;594,45;0
1-TITULO_REAL;15;540874/2-1;;10885;HIPER TEXTIL LTDA;BATISTA;01/06/2026;;30;1;01/07/2026;FATURADO;345,04;345,04;0
1-TITULO_REAL;16;44095/1-3;;16261;INDUSTRIA LATICINIOS DOM MIRO;SANDRO;27/05/2026;;35;3;01/07/2026;FATURADO;198730,88;198730,88;0
1-TITULO_REAL;15;907133/1-1;;14588;IRMAOS RUIVO LTDA;WERTER;26/06/2026;;5;1;01/07/2026;FATURADO;695,22;0;695,22
1-TITULO_REAL;16;423875/1-1;;16491;JBS S A;LAURINDO;10/06/2026;;21;1;01/07/2026;FATURADO;26001,92;26001,92;0
1-TITULO_REAL;16;423877/1-1;;16491;JBS S A;LAURINDO;10/06/2026;;21;1;01/07/2026;FATURADO;49545,08;49545,08;0
1-TITULO_REAL;16;423876/1-1;;16491;JBS S A;LAURINDO;10/06/2026;;21;1;01/07/2026;FATURADO;25416,29;25416,29;0
1-TITULO_REAL;14;423545/1-3;;16491;JBS S A;LAURINDO;30/05/2026;;32;3;01/07/2026;FATURADO;5674,3;5674,3;0
1-TITULO_REAL;3;423547/1-3;;16491;JBS S A;LAURINDO;30/05/2026;;32;3;01/07/2026;FATURADO;13325,86;13325,86;0
1-TITULO_REAL;11;423541/1-3;;16491;JBS S A;LAURINDO;30/05/2026;;32;3;01/07/2026;FATURADO;12562,29;12562,29;0
1-TITULO_REAL;18;423553/1-3;;16491;JBS S A;LAURINDO;30/05/2026;;32;3;01/07/2026;FATURADO;5709,96;5709,96;0
1-TITULO_REAL;8;423544/1-3;;16491;JBS S A;LAURINDO;30/05/2026;;32;3;01/07/2026;FATURADO;3195,05;3195,05;0
1-TITULO_REAL;2;423542/1-3;;16491;JBS S A;LAURINDO;30/05/2026;;32;3;01/07/2026;FATURADO;10793,41;10793,41;0
1-TITULO_REAL;5;423548/1-3;;16491;JBS S A;LAURINDO;30/05/2026;;32;3;01/07/2026;FATURADO;9418,66;9418,66;0
1-TITULO_REAL;17;423551/1-3;;16491;JBS S A;LAURINDO;30/05/2026;;32;3;01/07/2026;FATURADO;8277,54;8277,54;0
1-TITULO_REAL;4;423546/1-3;;16491;JBS S A;LAURINDO;30/05/2026;;32;3;01/07/2026;FATURADO;5647,79;5647,79;0
1-TITULO_REAL;7;423549/1-3;;16491;JBS S A;LAURINDO;30/05/2026;;32;3;01/07/2026;FATURADO;6589,53;6589,53;0
1-TITULO_REAL;6;423550/1-3;;16491;JBS S A;LAURINDO;30/05/2026;;32;3;01/07/2026;FATURADO;10259,82;10259,82;0
1-TITULO_REAL;13;423552/1-3;;16491;JBS S A;LAURINDO;30/05/2026;;32;3;01/07/2026;FATURADO;10492,79;10492,79;0
1-TITULO_REAL;12;423540/1-3;;16491;JBS S A;LAURINDO;30/05/2026;;32;3;01/07/2026;FATURADO;13283;13283;0
1-TITULO_REAL;16;424543/1-1;;22013;JBS SA;LAURINDO;10/06/2026;;21;1;01/07/2026;FATURADO;34263,52;34263,52;0
1-TITULO_REAL;15;312200/1-3;;4591;KI-KAKAU IND E COM DE CHOCOLATES LTDA;WERTER;19/05/2026;;43;3;01/07/2026;FATURADO;697,55;697,55;0
1-TITULO_REAL;17;4207190/1-1;;9379;LACTALIS BRASIL COM IMP EXP LTDA;SANDRO;03/06/2026;;28;1;01/07/2026;FATURADO;5397,8;5397,8;0
1-TITULO_REAL;3;70620005/1-1;;2957;LUIZ EDUARDO DE SOUZA DOS SANTOS;MODELO;01/07/2026;;0;1;01/07/2026;FATURADO;5394,02;5394,02;0
1-TITULO_REAL;7;70620006/700-1;;2957;LUIZ EDUARDO DE SOUZA DOS SANTOS;LAURINDO;08/06/2026;;23;1;01/07/2026;FATURADO;364,8;364,8;0
1-TITULO_REAL;5;70620004/700-1;;2957;LUIZ EDUARDO DE SOUZA DOS SANTOS;LAURINDO;08/06/2026;;23;1;01/07/2026;FATURADO;387,6;387,6;0
1-TITULO_REAL;8;70620007/700-1;;2957;LUIZ EDUARDO DE SOUZA DOS SANTOS;LAURINDO;08/06/2026;;23;1;01/07/2026;FATURADO;786,6;786,6;0
1-TITULO_REAL;4;70620003/700-1;;2957;LUIZ EDUARDO DE SOUZA DOS SANTOS;LAURINDO;08/06/2026;;23;1;01/07/2026;FATURADO;410,4;410,4;0
1-TITULO_REAL;14;70620008/700-1;;2957;LUIZ EDUARDO DE SOUZA DOS SANTOS;LAURINDO;12/06/2026;;19;1;01/07/2026;FATURADO;1083;1083;0
1-TITULO_REAL;2;70620001/700-1;;2957;LUIZ EDUARDO DE SOUZA DOS SANTOS;LAURINDO;08/06/2026;;23;1;01/07/2026;FATURADO;478,8;478,8;0
1-TITULO_REAL;6;70620005/700-1;;2957;LUIZ EDUARDO DE SOUZA DOS SANTOS;LAURINDO;08/06/2026;;23;1;01/07/2026;FATURADO;741;741;0
1-TITULO_REAL;3;70620002/700-1;;2957;LUIZ EDUARDO DE SOUZA DOS SANTOS;LAURINDO;08/06/2026;;23;1;01/07/2026;FATURADO;1231,2;1231,2;0
1-TITULO_REAL;16;968696/1-1;;8576;MAIS FRANGO MIRAGUAI LTDA;SANDRO;03/06/2026;;28;1;01/07/2026;FATURADO;49342,43;49342,43;0
1-TITULO_REAL;16;968695/1-1;;8576;MAIS FRANGO MIRAGUAI LTDA;SANDRO;03/06/2026;;28;1;01/07/2026;FATURADO;9562,43;9562,43;0
1-TITULO_REAL;1;1035376/0-1;;10511;MARQUESPAN ALIMENTOS LTDA;LAURINDO;05/06/2026;;26;1;01/07/2026;FATURADO;1768,87;1768,87;0
1-TITULO_REAL;5;1035015/0-1;;10511;MARQUESPAN ALIMENTOS LTDA;LAURINDO;05/06/2026;;26;1;01/07/2026;FATURADO;9446,95;9446,95;0
1-TITULO_REAL;17;1035018/0-1;;10511;MARQUESPAN ALIMENTOS LTDA;LAURINDO;05/06/2026;;26;1;01/07/2026;FATURADO;7831,03;7831,03;0
1-TITULO_REAL;4;1035220/0-1;;10511;MARQUESPAN ALIMENTOS LTDA;LAURINDO;05/06/2026;;26;1;01/07/2026;FATURADO;18004,78;18004,78;0
1-TITULO_REAL;14;1035379/0-1;;10511;MARQUESPAN ALIMENTOS LTDA;LAURINDO;05/06/2026;;26;1;01/07/2026;FATURADO;7807,65;7807,65;0
1-TITULO_REAL;8;1035381/0-1;;10511;MARQUESPAN ALIMENTOS LTDA;LAURINDO;05/06/2026;;26;1;01/07/2026;FATURADO;4206,67;4206,67;0
1-TITULO_REAL;11;1035012/0-1;;10511;MARQUESPAN ALIMENTOS LTDA;LAURINDO;05/06/2026;;26;1;01/07/2026;FATURADO;7337,69;7337,69;0
1-TITULO_REAL;2;1035019/0-1;;10511;MARQUESPAN ALIMENTOS LTDA;LAURINDO;05/06/2026;;26;1;01/07/2026;FATURADO;27034,76;27034,76;0
1-TITULO_REAL;13;1035365/0-1;;10511;MARQUESPAN ALIMENTOS LTDA;LAURINDO;05/06/2026;;26;1;01/07/2026;FATURADO;7354,42;7354,42;0
1-TITULO_REAL;18;1036535/0-1;;10511;MARQUESPAN ALIMENTOS LTDA;LAURINDO;05/06/2026;;26;1;01/07/2026;FATURADO;8738,9;8738,9;0
1-TITULO_REAL;3;1035017/0-1;;10511;MARQUESPAN ALIMENTOS LTDA;LAURINDO;06/06/2026;;25;1;01/07/2026;FATURADO;23801,63;23801,63;0
1-TITULO_REAL;7;1035016/0-1;;10511;MARQUESPAN ALIMENTOS LTDA;LAURINDO;05/06/2026;;26;1;01/07/2026;FATURADO;5291,56;5291,56;0
1-TITULO_REAL;6;1035014/0-1;;10511;MARQUESPAN ALIMENTOS LTDA;LAURINDO;05/06/2026;;26;1;01/07/2026;FATURADO;14953,31;14953,31;0
1-TITULO_REAL;11;81/700-1;;21599;NEIDE MARIA COGO MENDES HORTFRUTIGRANGEI;LAURINDO;16/06/2026;;15;1;01/07/2026;FATURADO;2760;2760;0
1-TITULO_REAL;14;181697/1-1;;16654;NOP IND E COM DE ALIMENTOS LTDA EPP;SANDRO;29/05/2026;;33;1;01/07/2026;FATURADO;1614,28;1614,28;0
1-TITULO_REAL;11;1769/8-1;;16654;NOP IND E COM DE ALIMENTOS LTDA EPP;SANDRO;03/06/2026;;28;1;01/07/2026;FATURADO;1020,6;1020,6;0
1-TITULO_REAL;12;181756/1-1;;16654;NOP IND E COM DE ALIMENTOS LTDA EPP;SANDRO;01/06/2026;;30;1;01/07/2026;FATURADO;888,3;888,3;0
1-TITULO_REAL;17;181695/1-1;;16654;NOP IND E COM DE ALIMENTOS LTDA EPP;SANDRO;29/05/2026;;33;1;01/07/2026;FATURADO;1182,6;1182,6;0
1-TITULO_REAL;2;181700/1-1;;16654;NOP IND E COM DE ALIMENTOS LTDA EPP;SANDRO;29/05/2026;;33;1;01/07/2026;FATURADO;1050,8;1050,8;0
1-TITULO_REAL;3;181698/1-1;;16654;NOP IND E COM DE ALIMENTOS LTDA EPP;SANDRO;29/05/2026;;33;1;01/07/2026;FATURADO;3043,38;3043,38;0
1-TITULO_REAL;6;181699/1-1;;16654;NOP IND E COM DE ALIMENTOS LTDA EPP;SANDRO;29/05/2026;;33;1;01/07/2026;FATURADO;1590,03;1590,03;0
1-TITULO_REAL;18;3885/1-1;;15756;PANARIUS DISTRIB LTDA;SANDRO;05/05/2026;;57;1;01/07/2026;FATURADO;432;0;432
1-TITULO_REAL;15;1134826/1-1;;6485;PIETROBON E CIA. LTDA;WERTER;02/05/2026;;60;1;01/07/2026;FATURADO;11309,89;11309,89;0
1-TITULO_REAL;15;54489/1-2;;5492;PLASTICOS SUZUKI LTDA;LAURINDO;27/05/2026;;35;2;01/07/2026;FATURADO;22674;22674;0
1-TITULO_REAL;3;31442/001-1;;17566;PORTO BALANÇAS LTDA;MODELO;01/07/2026;;0;1;01/07/2026;FATURADO;1685,45;0;1685,45
1-TITULO_REAL;14;1510250/2-3;;5783;PRADO DISTRIBUIDORA DE ALIMENTOS LTDA;BATISTA;27/05/2026;;35;3;01/07/2026;FATURADO;6206,46;6206,46;0
1-TITULO_REAL;15;802134/5-3;;4435;QUIMICA AMPARO LTDA;BATISTA;27/05/2026;;35;3;01/07/2026;FATURADO;1319,2;1319,2;0
1-TITULO_REAL;15;802135/5-3;;4435;QUIMICA AMPARO LTDA;BATISTA;27/05/2026;;35;3;01/07/2026;FATURADO;3890,61;3890,61;0
1-TITULO_REAL;17;834731/3-1;;5894;UNIDASUL DISTRIBUIDORA ALIMENTICIA S/A;BATISTA;03/06/2026;;28;1;01/07/2026;FATURADO;1743,66;1743,66;0
1-TITULO_REAL;17;400057/1-1;;5894;UNIDASUL DISTRIBUIDORA ALIMENTICIA S/A;BATISTA;03/06/2026;;28;1;01/07/2026;FATURADO;2046,24;2046,24;0
