DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;QUANTIDADE_DISPONIVEL;QTD_PEND_PEDCOMPRA;QTD_VENDIDA_30D;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;5889;ESM IMPALA 7 5ML BETERRABA 125;Ativo;1;1;2;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;5886;ESM IMPALA 7 5ML BRANCO 608;Ativo;1;1;9;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;5890;ESM IMPALA 7 5ML BRILH 161;Ativo;1;1;13;0;2;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;5896;ESM IMPALA 7 5ML DENGO 250;Ativo;1;1;13;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;5900;ESM IMPALA 7 5ML INCOLOR 44;Ativo;1;1;3;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;5904;ESM IMPALA 7 5ML PRETO 501;Ativo;1;1;19;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;5907;ESM IMPALA 7 5ML SONHO 460;Ativo;1;1;1;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;5909;ESM IMPALA 7 5ML TOMATE 427;Ativo;1;1;4;0;2;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;5911;ESM IMPALA 7 5ML VINHO 28;Ativo;1;1;4;0;3;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;9418;ESM IMPALA BASE REVIT FIBRAS BRANCO SOFT;Ativo;1;1;12;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;9419;ESM IMPALA BASE REVIT FIBRAS CORAL LIGHT;Ativo;1;1;10;0;2;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;9420;ESM IMPALA BASE REVIT FIBRAS ROSA SWEET;Ativo;1;1;1;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;9422;ESM IMPALA COR DA MODA 7 5ML SEMEAR;Ativo;1;1;5;0;2;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;9423;ESM IMPALA COR MODA 7 5ML DELICADO;Ativo;1;1;8;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;9424;ESM IMPALA COR MODA 7 5ML DESTINOS;Ativo;1;1;0;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;9425;ESM IMPALA COR MODA 7 5ML FASCINACAO;Ativo;1;1;1;0;4;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;9426;ESM IMPALA COR MODA 7 5ML INTENSO;Ativo;1;1;4;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;9427;ESM IMPALA COR MODA 7 5ML LEMBRANCAS;Ativo;1;1;10;0;7;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;9428;ESM IMPALA COR MODA 7 5ML QUERER;Ativo;1;1;6;0;3;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;9429;ESM IMPALA COR MODA 7 5ML SEGREDOS;Ativo;1;1;7;0;2;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;9430;ESM IMPALA COR MODA 7 5ML SOSSEGO;Ativo;1;1;-7;0;1;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;9431;ESM IMPALA COR MODA 7 5ML VIRTUDE;Ativo;1;1;15;0;1;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;9432;ESM IMPALA COR MODA 7 5ML VIVENCIA;Ativo;1;1;11;0;2;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18087;ESM IMPALA CREM ADMIRE;Ativo;1;1;1;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18088;ESM IMPALA CREM ALENTO;Ativo;1;1;0;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18090;ESM IMPALA CREM AMOR PROFUN;Ativo;1;1;14;0;1;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18091;ESM IMPALA CREM BELEZA RARA;Ativo;1;1;0;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18092;ESM IMPALA CREM BON LUXO;Ativo;1;1;1;0;1;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18094;ESM IMPALA CREM CAFE CAFE;Ativo;1;1;14;0;10;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18096;ESM IMPALA CREM CHAMEGO MEU;Ativo;1;1;0;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18097;ESM IMPALA CREM COISA LINDA;Ativo;1;1;0;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18098;ESM IMPALA CREM COMPAIXAO;Ativo;1;1;12;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18099;ESM IMPALA CREM DESCOMPLICA;Ativo;1;1;3;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18100;ESM IMPALA CREM DONATA;Ativo;1;1;21;0;6;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18101;ESM IMPALA CREM ELEGANTE;Ativo;1;1;0;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18102;ESM IMPALA CREM ESSENCIAL;Ativo;1;1;13;0;5;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18103;ESM IMPALA CREM FLORESCA;Ativo;1;1;1;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18105;ESM IMPALA CREM LEME;Ativo;1;1;71;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18106;ESM IMPALA CREM LINHO;Ativo;1;1;1;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18107;ESM IMPALA CREM LOLITA;Ativo;1;1;1;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18108;ESM IMPALA CREM MADONNA;Ativo;1;1;2;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18109;ESM IMPALA CREM NOVOS ARES;Ativo;1;1;1;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18111;ESM IMPALA CREM PRESENCA;Ativo;1;1;12;0;2;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18112;ESM IMPALA CREM SERENA;Ativo;1;1;1;0;1;0;0
