DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;ESTOQUE_ATUAL
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;5355;CREME BARBA BOZZANO 65G ALOE VERA;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;5356;CREME BARBA BOZZANO 65G MENTOLADO;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;5357;CREME BARBA BOZZANO 65G PELE SENS;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;36345;CREME DENT COLGATE T A ORIG 90G C 3;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;5367;CREME MASSAGEM DAGUA 650G NEUTRO;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;16958;CREOLINA VD 50ML;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;16960;CRUZWALDINA 500ML;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;17110;DES SANIT PATO GEL ADES C/2 FRU;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;17123;DES SANIT SANILUX C 3 30G;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;17121;DES SANIT SANILUX C 3 30G LAVANDA;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;17122;DES SANIT SANILUX C 3 30G MARINE;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;17142;DESCOLORANTE CARE LISS 20G CAMOMILA;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;37430;DESINF AQUAFAST HARMONIA NAT 2L;A;6;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;37773;DESINF CIF BORRIF EXTERM LIMO 500ML;A;12;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;37727;DESOD AERO ABOVE MAXX CREAM 250ML;A;12;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;37726;DESOD AERO ABOVE MAXX EXTREME 250ML;A;12;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;37774;DESOD AERO DOVE FIFA ENERGY 150ML;A;12;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;37775;DESOD AERO DOVE FRESH FIFA 150ML;A;20;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;36895;DESOD CREME AMAZ POWER MEN 55G;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;35687;DESOD CREME SECRET CLEAR COTT 45G GEL;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;17370;DET LIQ SURF SEM1 1 8L COCO;A;1;1;0
