DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO
PERECIVEIS;SANDRO MARTINS VIANNA;16;10949;COXA FGO CONG KG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10951;COXA FGO SADIA BDJ 1KG FRXB;Ativo;12;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10952;COXA FGO SADIA CONG 1KG FRXZP;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10953;COXA FGO SEARA IQF 1KG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10958;COXA S COXA FGO BELLO;Ativo;18;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10962;COXA S COXA FGO DANIELI C DORSO;Ativo;18;18;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10963;COXA S COXA FGO DANIELO S DORSO;Ativo;18;18;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;34750;COXA S COXA FGO PERDIGAO DESOS 800G;Ativo;9;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10965;COXA S COXA FGO RICO;Ativo;20;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10967;COXA S COXA FGO SADIA BDJ 1KG DESOSSADA;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10969;COXA S COXA FGO SEARA CONG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10956;COXA SOBRECOXA FGO C DORSO CONG KG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10961;COXA SOBRECOXA FGO CONG KG;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10970;COXAO DENTRO FRIBOI PORC VACUO KG;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;30148;COXAO DENTRO FRIBOI PORC VACUO KG BDJ;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10573;COXAO DENTRO RESERVA KG ASSADO CAMPEST;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10974;COXAO DENTRO RESERVA KG BIFE;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10718;COXAO DENTRO RESERVA KG BIFE LIGHT;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10727;COXAO DENTRO RESERVA KG BIFE PARIS;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10784;COXAO DENTRO RESERVA KG BROCHETE;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10922;COXAO DENTRO RESERVA KG CORTE ESPIRAL;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10923;COXAO DENTRO RESERVA KG CORTE ORIENTAL;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;11145;COXAO DENTRO RESERVA KG FLATBEEF;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10984;COXAO DENTRO RESERVA KG MOIDO;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10985;COXAO DENTRO RESERVA KG P STROGONOFF;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10971;COXAO DENTRO RESERVA KG PAI;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10972;COXAO DENTRO RESERVA KG PEDACO;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10981;COXAO FORA FRIBOI PORC VACUO KG;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10982;COXAO FORA RESERVA KG BIFE;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;25956;COXAO FORA RESERVA KG BIFE COXAO FORA;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;25957;COXAO FORA RESERVA KG BIFE P ROLE;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10976;COXAO FORA RESERVA KG CUBOS;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;34575;COXAO FORA RESERVA KG INTEIRO;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;11256;COXAO FORA RESERVA KG ISCA STROG BDJ;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10977;COXAO FORA RESERVA KG MOIDO;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10978;COXAO FORA RESERVA KG PAI;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10979;COXAO FORA RESERVA KG PEDACO;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;11916;COXAO FORA RESERVA KG REDBEEF;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;12010;COXAO FORA RESERVA KG STRETTO;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10975;COXAO FORA RESERVA KG XADREZ BDJ;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;30150;COXINHA ASA FGO CONG KG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10990;COXINHA ASA FGO LANGUIRU SOLT 800G;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10992;COXINHA ASA FGO LAR TEMP 700G;Ativo;26;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10993;COXINHA ASA FGO MAIS FGO IQF 1KG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10994;COXINHA ASA FGO SADIA IQF DRMT;Ativo;8;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10996;COXINHA ASA FGO SEARA 1KG;Ativo;18;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10997;COXINHA ASA FGO SEARA IQF 1KG;Ativo;12;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;30231;CUPIM BOV RESF PORC FRIBOI KK;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;11023;DAMASCO UNIAGRO KG;Ativo;13;13;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;11025;DIANTEIRO RESERVA BOV MOIDO;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;11030;DOCE LEITE STA CLARA KG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;11026;DOCE STA CLARA KG ABOB COCO;Ativo;4,8;4,8;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;11028;DOCE STA CLARA KG FIGO;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;11029;DOCE STA CLARA KG GOIABA;Ativo;1;1;0;0
