CODIGO_PRODUTO;DESCRICAO;EAN_DUN;DEPARTAMENTO;GRUPO;SUBGRUPO;NIVEL_4
4669;CHIN HAVAIANA SLIM CIBER PINK 35/6;37909843486924;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4669;CHIN HAVAIANA SLIM CIBER PINK 35/6;7909843486923;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4670;CHIN HAVAIANA SLIM CIBER PINK 39/4;37909843486948;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4670;CHIN HAVAIANA SLIM CIBER PINK 39/4;7909843486947;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4671;CHIN HAVAIANA SLIM GLOSS MAR/MAR 35/6;7909843981145;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4672;CHIN HAVAIANA SLIM GLOSS MAR/MAR 37/8;7909843981169;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4673;CHIN HAVAIANA SLIM GLOSS MAR/MAR 39/0;7909843981176;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4674;CHIN HAVAIANA SLIM GLOSS MUSGO 35/6;7909690467021;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4675;CHIN HAVAIANA SLIM PRETO 35/6;7890732316479;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4676;CHIN HAVAIANA SLIM PRETO 37/8;7890732316486;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4677;CHIN HAVAIANA SLIM PRETO 39/0;7890732316493;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4678;CHIN HAVAIANA SLIM PROVENCA 37/8;7909843487128;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4679;CHIN HAVAIANA SLIM PROVENCA 39/0;7909843487135;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4680;CHIN HAVAIANA SLIM SQUARE ROSA CROC 35/6;7909843020646;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4681;CHIN HAVAIANA SLIM SQUARE ROSA CROC 37/8;7909843020653;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4682;CHIN HAVAIANA SLIM SQUARE ROSA CROC 39/0;7909843020660;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4683;CHIN HAVAIANA SLIM VD VIRTUAL 33/4;37909843487037;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4683;CHIN HAVAIANA SLIM VD VIRTUAL 33/4;7909843487036;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4683;CHIN HAVAIANA SLIM VD VIRTUAL 33/4;7909843617341;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4684;CHIN HAVAIANA SLIM VD VIRTUAL 35/6;37909843487044;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4684;CHIN HAVAIANA SLIM VD VIRTUAL 35/6;7909843487043;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4684;CHIN HAVAIANA SLIM VD VIRTUAL 35/6;7909843617358;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4685;CHIN HAVAIANA SLIM VD VIRTUAL 39/4;37909843487068;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4685;CHIN HAVAIANA SLIM VD VIRTUAL 39/4;7909843487067;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
