DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_CONSINCO;descricao;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;QUANTIDADE_DISPONIVEL;QTD_PEND_PEDCOMPRA;QTD_VENDIDA_30D;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO;Pedir;Estq_CD_cx
MERCEARIA;WETER SONNENFELDET;12;3022;CEREAL MAT NESTLE SH 120G MOCA FLAKES;Ativo;20;20;0;12;0;16;36;1;2,4
MERCEARIA;WETER SONNENFELDET;12;1276;CHOC BARRA GAROTO 80G MEIO AMARGO;Ativo;16;16;1;16;140;32;48;2;33,06
MERCEARIA;WETER SONNENFELDET;12;1441;CHOC TWIX 40G TRIPLO CHOC;Ativo;18;18;7;0;6;14;32;1;46
MERCEARIA;WETER SONNENFELDET;12;3374;COCO RALADO MENINA 100G UMIDO ADOCADO;Ativo;12;12;12;0;0;18;42;3;3
MERCEARIA;WETER SONNENFELDET;12;2487;DOCE DIFRUTTI 400G GOIABA;Ativo;12;12;0;0;2;10;22;2;9,83
MERCEARIA;WETER SONNENFELDET;12;2538;DOCE DOCITO 990G CREMOSO C LEITE;Ativo;6;6;-19;9;90;18;24;3;49
MERCEARIA;WETER SONNENFELDET;12;2521;DOCE PETRY 400G COLONIAL CANA;Ativo;12;12;2;0;5;10;22;2;5,17
MERCEARIA;WETER SONNENFELDET;12;2498;DOCE SORO DE LEITE DA SERRA PT 400G;Ativo;12;12;1;0;0;24;36;3;8,92
MERCEARIA;NIDAL TUBASI;12;2367;ERVILHA FUGINI SH 170G;Ativo;36;36;-432;108;848;144;216;3;203,89
MERCEARIA;NIDAL TUBASI;12;2369;ERVILHA OLE LT 170G;Ativo;24;24;118;120;245;264;360;5;99,71
MERCEARIA;NIDAL TUBASI;12;2552;EXTRATO TOM ELEFANTE PT 300G;Ativo;24;24;68;0;187;96;120;2;305
MERCEARIA;NIDAL TUBASI;12;2737;FARINHA TRIGO ROSESOL 1KG;Ativo;10;10;60;0;993;200;300;24;1244
MERCEARIA;NIDAL TUBASI;12;2747;FARINHA TRIGO ROSESOL 5KG;Ativo;5;5;6;0;49;41;56;10;100
MERCEARIA;NIDAL TUBASI;12;2477;KETCHUP FUGINI SH C BICO 180G PICANTE;Ativo;32;32;13;0;20;24;56;1;34
MERCEARIA;NIDAL TUBASI;12;2491;KETCHUP ODERICH BISNAG 200G TRAD;Ativo;24;24;20;0;143;96;144;5;12
