CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMBL_TRANSFERENCIA;CODIGO_EMPRESA;NOVO_MINIMO;NOVO_MAXIMO;DIAS_RELATORIO_VENDA;VENDA_MEDIA;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO;REGRA_MINIMO;REGRA_MAXIMO;Status;QUANTIDADE_DISPONIVEL
4375;BEB LACT STA CLARA GF 1L COCO;1;13;6;10;90;0,74;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;3
4375;BEB LACT STA CLARA GF 1L COCO;1;14;6;10;90;0,78;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;-29
4375;BEB LACT STA CLARA GF 1L COCO;1;17;9;10;90;2,2;0;0;UNITARIO_PISO_6;UMA_CAIXA_ACIMA;Ativo;56
4375;BEB LACT STA CLARA GF 1L COCO;1;18;6;10;90;0,24;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;36
4376;BEB LACT STA CLARA GF 1L FRUTAS VERMELHA;1;2;6;10;90;1,0;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;15
4376;BEB LACT STA CLARA GF 1L FRUTAS VERMELHA;1;3;7;8;90;1,67;0;0;UNITARIO_PISO_6;UMA_CAIXA_ACIMA;Ativo;133
4376;BEB LACT STA CLARA GF 1L FRUTAS VERMELHA;1;4;6;10;90;0,7;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;50
4376;BEB LACT STA CLARA GF 1L FRUTAS VERMELHA;1;5;6;10;90;0,41;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;321
4376;BEB LACT STA CLARA GF 1L FRUTAS VERMELHA;1;6;6;10;90;0,68;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;38
4376;BEB LACT STA CLARA GF 1L FRUTAS VERMELHA;1;7;6;10;90;0,64;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;40
4376;BEB LACT STA CLARA GF 1L FRUTAS VERMELHA;1;8;6;10;90;0,4;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;26
4376;BEB LACT STA CLARA GF 1L FRUTAS VERMELHA;1;11;6;10;90;1,33;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;42
4376;BEB LACT STA CLARA GF 1L FRUTAS VERMELHA;1;12;6;10;90;0,41;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;59
4376;BEB LACT STA CLARA GF 1L FRUTAS VERMELHA;1;13;6;10;90;0,57;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;36
4376;BEB LACT STA CLARA GF 1L FRUTAS VERMELHA;1;14;6;10;90;0,59;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;52
4376;BEB LACT STA CLARA GF 1L FRUTAS VERMELHA;1;17;7;8;90;1,7;0;0;UNITARIO_PISO_6;UMA_CAIXA_ACIMA;Ativo;142
