DEPARTAMENTO;SECAO;GRUPO;SUBGRUPO;NIVEL5;NIVEL6;COMPRADOR;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS;MARGEM_OBJETIVA;VENDA_VALOR;VENDA_PROMOCAO
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;36;AGUA MIN CRYSTAL PET 500ML C GAS;A;20;680,26;158,88
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;36;AGUA MIN CRYSTAL PET 500ML C GAS;A;20;706,45;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;36;AGUA MIN CRYSTAL PET 500ML C GAS;A;20;908,88;73,08
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;36;AGUA MIN CRYSTAL PET 500ML C GAS;A;20;932,14;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;36;AGUA MIN CRYSTAL PET 500ML C GAS;A;20;979,08;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;36;AGUA MIN CRYSTAL PET 500ML C GAS;A;20;1028,09;654,68
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;36;AGUA MIN CRYSTAL PET 500ML C GAS;A;20;1299,45;290,52
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;36;AGUA MIN CRYSTAL PET 500ML C GAS;A;20;1613,89;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;36;AGUA MIN CRYSTAL PET 500ML C GAS;A;20;1868,61;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;36;AGUA MIN CRYSTAL PET 500ML C GAS;A;20;2095,49;100,17
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;36;AGUA MIN CRYSTAL PET 500ML C GAS;A;20;2286,51;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;36;AGUA MIN CRYSTAL PET 500ML C GAS;A;20;2620,83;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;36;AGUA MIN CRYSTAL PET 500ML C GAS;A;20;7560,01;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;43;AGUA MIN CRYSTAL PET 500ML S GAS;A;20;0;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;43;AGUA MIN CRYSTAL PET 500ML S GAS;A;20;201,81;22,26
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;43;AGUA MIN CRYSTAL PET 500ML S GAS;A;20;443,61;42,93
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;43;AGUA MIN CRYSTAL PET 500ML S GAS;A;20;449,82;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;43;AGUA MIN CRYSTAL PET 500ML S GAS;A;20;663,39;0
