ORIGEM;EMPRESA;TITULO;PEDIDO;COD_FORNECEDOR;FORNECEDOR;COMPRADOR;DATA_EMISSAO;DATA_PREV_ENTREGA;PRAZO_PAGAMENTO_DIAS;PARCELA;DATA_VENCIMENTO;STATUS_PEDIDO;VALOR_PROJETADO
1-TITULO_REAL;14;2590/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;31/05/2026;;30;1;30/06/2026;FATURADO;3897
1-TITULO_REAL;2;2570/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;31/05/2026;;30;1;30/06/2026;FATURADO;9840,8
1-TITULO_REAL;13;2581/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;31/05/2026;;30;1;30/06/2026;FATURADO;5028
1-TITULO_REAL;11;2579/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;31/05/2026;;30;1;30/06/2026;FATURADO;8491
1-TITULO_REAL;6;2600/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;31/05/2026;;30;1;30/06/2026;FATURADO;5015
1-TITULO_REAL;7;2601/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;31/05/2026;;30;1;30/06/2026;FATURADO;2562
1-TITULO_REAL;11;2618/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;31/05/2026;;30;1;30/06/2026;FATURADO;3400
1-TITULO_REAL;5;2612/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;31/05/2026;;30;1;30/06/2026;FATURADO;1700
1-TITULO_REAL;8;2576/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;31/05/2026;;30;1;30/06/2026;FATURADO;3145
1-TITULO_REAL;12;2593/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;31/05/2026;;30;1;30/06/2026;FATURADO;8913
1-TITULO_REAL;15;342435/1-1;;14468;BERTOLINI INDUSTRIA QUIMICA LTDA;BATISTA;09/06/2026;;21;1;30/06/2026;FATURADO;1262,89
1-TITULO_REAL;15;342436/1-1;;14468;BERTOLINI INDUSTRIA QUIMICA LTDA;BATISTA;09/06/2026;;21;1;30/06/2026;FATURADO;375,31
1-TITULO_REAL;50;169665/1-1;;4751;BIGNARDI IND COM PAP ARTEF LTDA;NUJUD;24/04/2026;;67;1;30/06/2026;FATURADO;44534,8
1-TITULO_REAL;4;136562/1-1;;9543;CARGNELUTTI COM DE GAS LTDA;NICOLAS;16/05/2026;;45;1;30/06/2026;FATURADO;12150
1-TITULO_REAL;8;136566/1-1;;9543;CARGNELUTTI COM DE GAS LTDA;NICOLAS;16/05/2026;;45;1;30/06/2026;FATURADO;6075
1-TITULO_REAL;6;136564/1-1;;9543;CARGNELUTTI COM DE GAS LTDA;NICOLAS;16/05/2026;;45;1;30/06/2026;FATURADO;12150
1-TITULO_REAL;15;3297285/2-3;;6962;CENTRAL DISTR OFERTAO DE ALIM LTDA;BATISTA;19/05/2026;;42;3;30/06/2026;FATURADO;25908,91
1-TITULO_REAL;50;2609582/1-4;;16817;CENTRO PROD RIO GRANDENSE ESP IND LTDA;NUJUD;02/03/2026;;120;4;30/06/2026;FATURADO;864
1-TITULO_REAL;15;263172/10-3;;10224;COOP VITIVINICOLA ALIANCA LTDA;NICOLAS;15/04/2026;;76;3;30/06/2026;FATURADO;1540
1-TITULO_REAL;15;91585/1-1;;14321;COOPERATIVA SANTA CLARA LTDA;SANDRO;02/06/2026;;28;1;30/06/2026;FATURADO;105264
1-TITULO_REAL;12;310983/1-1;;10956;DISPAL DIST.DE PRODUTOS ALIM.LAMANA;SANDRO;02/06/2026;;28;1;30/06/2026;FATURADO;269,4
1-TITULO_REAL;4;311083/1-1;;10956;DISPAL DIST.DE PRODUTOS ALIM.LAMANA;SANDRO;02/06/2026;;28;1;30/06/2026;FATURADO;269,4
1-TITULO_REAL;13;311047/1-1;;10956;DISPAL DIST.DE PRODUTOS ALIM.LAMANA;SANDRO;02/06/2026;;28;1;30/06/2026;FATURADO;269,4
1-TITULO_REAL;17;311048/1-1;;10956;DISPAL DIST.DE PRODUTOS ALIM.LAMANA;SANDRO;02/06/2026;;28;1;30/06/2026;FATURADO;269,4
1-TITULO_REAL;50;25759/1-2;;9622;DU DIGO DESCARTAVEIS LTDA;NUJUD;19/05/2026;;42;2;30/06/2026;FATURADO;8748
1-TITULO_REAL;50;156445/3-3;;17035;ESTRELA INDUSTRIA DE PAPEL LTDA;BATISTA;26/05/2026;;35;3;30/06/2026;FATURADO;17419,29
1-TITULO_REAL;50;156643/3-3;;17035;ESTRELA INDUSTRIA DE PAPEL LTDA;BATISTA;26/05/2026;;35;3;30/06/2026;FATURADO;17622,09
1-TITULO_REAL;50;157268/3-1;;17035;ESTRELA INDUSTRIA DE PAPEL LTDA;BATISTA;09/06/2026;;21;1;30/06/2026;FATURADO;16676,66
1-TITULO_REAL;11;480048/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;WERTER;02/06/2026;;28;1;30/06/2026;FATURADO;1280
1-TITULO_REAL;17;480231/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;WERTER;02/06/2026;;28;1;30/06/2026;FATURADO;2820,3
1-TITULO_REAL;5;479992/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;WERTER;02/06/2026;;28;1;30/06/2026;FATURADO;248,5
1-TITULO_REAL;17;480230/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;SANDRO;02/06/2026;;28;1;30/06/2026;FATURADO;5373,06
1-TITULO_REAL;5;479991/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;SANDRO;02/06/2026;;28;1;30/06/2026;FATURADO;1219,3
1-TITULO_REAL;11;480047/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;SANDRO;02/06/2026;;28;1;30/06/2026;FATURADO;2834,95
1-TITULO_REAL;7;479993/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;SANDRO;02/06/2026;;28;1;30/06/2026;FATURADO;1873,35
1-TITULO_REAL;7;479994/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;WERTER;02/06/2026;;28;1;30/06/2026;FATURADO;201,5
1-TITULO_REAL;16;341791/1-3;;3638;FRIBOI LTDA.;LAURINDO;26/05/2026;;35;3;30/06/2026;FATURADO;63777,68
1-TITULO_REAL;16;44095/1-2;;16261;INDUSTRIA LATICINIOS DOM MIRO;SANDRO;27/05/2026;;34;2;30/06/2026;FATURADO;198730,86
1-TITULO_REAL;16;463200/1-1;;9777;JBS AVES LTDA;SANDRO;02/06/2026;;28;1;30/06/2026;FATURADO;14704,7
