CODIGO_PRODUTO;EAN;DESCRICAO_PRODUTO;CODIGO_EMPRESA;EMBALAGEM_VENDA;COMPRADOR;PRECO_NORMAL;PRECO_PROMOCIONAL;PRECO_PRATICADO_DIA
7142;7898013650045;MASSA PASTEL ITALIANY 500G DG;12;1;2 - SANDRO;7,49;0;7,49
7143;7898013650038;MASSA PASTEL ITALIANY 500G DL;12;1;2 - SANDRO;7,49;0;7,49
7144;7896249500035;MASSA PASTEL ROMENA 200G DM;12;1;2 - SANDRO;5,39;0;5,39
7145;7896249500042;MASSA PASTEL ROMENA 200G DP;12;1;2 - SANDRO;5,39;0;5,39
7146;7896249501759;MASSA PASTEL ROMENA 300G FORNO;12;1;2 - SANDRO;11,99;0;11,99
7147;7896249500011;MASSA PASTEL ROMENA 500G DG;12;1;2 - SANDRO;7,99;0;7,99
7148;7896249500028;MASSA PASTEL ROMENA 500G DL;12;1;2 - SANDRO;7,99;0;7,99
7149;7896249501742;MASSA PASTELAO ROMENA 300G FORNO;12;1;2 - SANDRO;11,99;0;11,99
7152;7896249500264;MASSA ROLO ROMENA 2KG;12;1;2 - SANDRO;32,99;0;32,99
7153;7896249500585;MASSA ROLO ROMENA 400G;12;1;2 - SANDRO;8,39;0;8,39
7161;7891515485528;MINI CHICKEN PERDIGAO 275G TRAD;12;1;2 - SANDRO;12,29;0;12,29
7166;7898690430404;MIST FRIOLACK 1 8KG CREM L QJO AMID;12;1;2 - SANDRO;18,9;0;18,9
7167;7898690430428;MIST FRIOLACK 1 8KG CREM L QJO AMID CHEDDAR;12;1;2 - SANDRO;18,9;0;18,9
7177;7896610906633;MORCELA EXCELSIOR 250G BCA;12;1;2 - SANDRO;10,99;0;10,99
7178;7896504302138;MORCELA SANTA CLARA 230G BRANCA;12;1;2 - SANDRO;14,49;0;14,49
7181;7891164018900;MORTAD AURORA FGO 400G;12;1;2 - SANDRO;10,39;0;10,39
7182;7896610908095;MORTADELA EXCELSIOR 180G DEFUMADA;12;1;2 - SANDRO;7,99;0;7,99
7186;7896610901584;MORTAD EXCELSIOR 400G C TOUC;12;1;2 - SANDRO;8,99;0;8,99
7187;7896610901621;MORTAD EXCELSIOR 400G S TOUC;12;1;2 - SANDRO;8,99;0;8,99
7193;7891515775636;MORTADELA PERDIGAO 200G TRAD;12;1;2 - SANDRO;7,29;0;7,29
7194;7891515429966;MORTADELA PERDIGAO 400G FRANGO;12;1;2 - SANDRO;7,99;0;7,99
7195;7891515430153;MORTADELA PERDIGAO 400G C TOUCINHO;12;1;2 - SANDRO;7,99;0;7,99
7196;7891515428617;MORTADELA PERDIGAO 400G S TOUCINHO;12;1;2 - SANDRO;7,99;0;7,99
7197;7893000340107;MORTADELA SADIA 1KG C GORD MFGY;12;1;2 - SANDRO;18,79;0;18,79
7198;7891515431587;MORTADELA SADIA 200G DEF SOLTISSIMO;12;1;2 - SANDRO;12,69;0;12,69
7209;7896504305566;NATA SANTA CLARA 200G ZERO LACTOSE;12;1;2 - SANDRO;13,39;0;13,39
7210;7896504305061;NATA SANTA CLARA 300G;12;1;2 - SANDRO;10,89;0;10,89
7211;7896256600094;NATA TIROL 300G;12;1;2 - SANDRO;10,79;0;10,79
7214;7898013650441;NHOQUE BATATA ITALIANY 500G;12;1;2 - SANDRO;10,99;0;10,99
7215;7896249501841;NHOQUE ROMENA 500G;12;1;2 - SANDRO;14,69;0;14,69
7216;7893000949270;NUGGETS FGO SADIA 300G CROCANTE NGTCT;12;1;2 - SANDRO;12,99;0;12,99
7217;7893000949430;NUGGETS FGO SADIA 300G QUEIJO NGECS;12;1;2 - SANDRO;12,99;0;12,99
7218;7893000949355;NUGGETS FGO SADIA 300G TRADICION NGTMT;12;1;2 - SANDRO;12,99;0;12,99
7291;7898013651165;PAO ALHO ITALIANY 350G TRAD;12;1;2 - SANDRO;14,99;0;14,99
7293;7896249500806;PAO ALHO ROMENA 450G;12;1;2 - SANDRO;18,79;0;18,79
7294;7896249500820;PAO ALHO ROMENA 450G PICANTE;12;1;2 - SANDRO;18,79;0;18,79
7296;7898067340404;PAO ALHO SANTA MASSA 400G TRAD;12;1;2 - SANDRO;20,89;0;20,89
7300;7896002360326;PAO FORMA PULLMAN 480G;12;1;2 - SANDRO;8,69;8,69;8,69
7301;7896002302197;PAO FORMA PULLMAN 500G ARTESANO;12;1;2 - SANDRO;14,79;14,79;14,79
7302;7896002303460;PAO FORMA PULLMAN 500G INTEG ARTES;12;1;2 - SANDRO;14,69;14,69;14,69
7303;7898330160166;PAO FORMA TCHE PAO 450G;12;1;2 - SANDRO;7,89;7,89;7,89
7304;7898330160395;PAO FORMA TCHE PAO INT. E ZERO 500G INTEGRAL;12;1;2 - SANDRO;10,79;10,79;10,79
7305;7898013651196;PAO ITALIANY 350G 4 QUEIJOS;12;1;2 - SANDRO;14,99;0;14,99
7306;7896002310239;PAO NUTRELLA 350G ABOB LINH CENO;12;1;2 - SANDRO;19,99;19,99;19,99
7307;7896002310253;PAO NUTRELLA 350G CAST PARA QUIN;12;1;2 - SANDRO;19,99;19,99;19,99
