CODIGO_PRODUTO;DESCRICAO_PRODUTO;CODIGO_FORNECEDOR;DESCRICAO_FORNECEDOR
3541;TEMP CAMOMILA KITANO 10G;3528;FABIANO ZAFFALON E CIA.
3543;TEMP PIMENTA PRETA GRAO KITANO 15G;3528;FABIANO ZAFFALON E CIA.
3544;TEMP OREGANO KITANO 10G;3528;FABIANO ZAFFALON E CIA.
3549;TEMP CEBOLINHA VERDE KITANO 5G;3528;FABIANO ZAFFALON E CIA.
3552;TEMP SALSA DESIDRATADA KITANO 8G;3528;FABIANO ZAFFALON E CIA.
3555;TEMP OREGANO CHEFLINE KITANO 200G;3528;FABIANO ZAFFALON E CIA.
3557;TEMP GENGIBRE MOIDO KITANO 15G;3528;FABIANO ZAFFALON E CIA.
3558;TEMP CANELA CASCA KITANO 20G;3528;FABIANO ZAFFALON E CIA.
3559;TEMP ADOBO CHURRASCO KITANO 12G;3528;FABIANO ZAFFALON E CIA.
3560;BEB 3 CORACOES POWER WHEY 250ML CHOC;8702;CAFE TRES CORACOES S.A
3561;TEMP OREGANO KITANO 15G;3528;FABIANO ZAFFALON E CIA.
3562;BEB 3 CORACOES POWER WHEY 250ML CLASSICO;8702;CAFE TRES CORACOES S.A
3564;BEB 3 CORACOES POWER WHEY 250ML DOCE LEITE;8702;CAFE TRES CORACOES S.A
3567;TEMP CRAVO INDIA KITANO 8G;3528;FABIANO ZAFFALON E CIA.
3568;BEB 3 CORACOES POWER WHEY 250ML COOKIES;8702;CAFE TRES CORACOES S.A
3573;BEBIDA PARMALAT WHEY 250ML COCO;9379;LACTALIS BRASIL COM IMP EXP LTDA
3581;BEBIDA PARMALAT WHEY 250ML ABACATE;9379;LACTALIS BRASIL COM IMP EXP LTDA
3583;TEMP PIMENTA E COMINHO KITANO 15G;3528;FABIANO ZAFFALON E CIA.
3584;BEBIDA PARMALAT WHEY 250ML MILHO VERDE;9379;LACTALIS BRASIL COM IMP EXP LTDA
3586;BEBIDA PARMALAT WHEY 250ML CAPPUCCINO;9379;LACTALIS BRASIL COM IMP EXP LTDA
3587;BEBIDA PARMALAT WHEY 250ML BAUNILHA;9379;LACTALIS BRASIL COM IMP EXP LTDA
3589;BEBIDA PARMALAT WHEY 250ML CHOC;9379;LACTALIS BRASIL COM IMP EXP LTDA
3591;TEMP PIMENTA BCA MOIDA KITANO 15G;3528;FABIANO ZAFFALON E CIA.
3593;TEMP FLOCOS KITANO 13G PIMENTA CALABRESA;3528;FABIANO ZAFFALON E CIA.
3594;TEMP CHIMICHURRI KITANO 12G;3528;FABIANO ZAFFALON E CIA.
3596;TEMP LOURO PO KITANO 12G;3528;FABIANO ZAFFALON E CIA.
3598;TEMP NOZ MOSCADA GRAO KITANO 8G;3528;FABIANO ZAFFALON E CIA.
3600;TEMP CANELA PO KITANO 50G;3528;FABIANO ZAFFALON E CIA.
3605;TEMP ACAFRAO DA TERRA KITANO 50G CURCUMA;3528;FABIANO ZAFFALON E CIA.
3610;TEMP ERVA DOCE KITANO 40G;3528;FABIANO ZAFFALON E CIA.
3611;TEMP BAIANO KITANO 40G;3528;FABIANO ZAFFALON E CIA.
3614;TEMP CEBOLA GRANULADA KITANO 50G;3528;FABIANO ZAFFALON E CIA.
3616;TEMP CURRY KITANO 50G;3528;FABIANO ZAFFALON E CIA.
3619;TEMP PAPRICA KITANO 50G PIMENTA CALABRESA;3528;FABIANO ZAFFALON E CIA.
