TABLE_NAME;COLUMN_NAME;DATA_TYPE
MRL_CARGAFATCRUZADOTRANSFAGRUP;INDCALCSTCONFENT;VARCHAR2
MRL_CARGAFATCRUZADOTRANSFAGRUP;PERDESPOPERACIONALITEM;NUMBER
MRL_CARGAFATCRUZADOTRANSFAGRUP;VLRDESPOPERACIONALITEM;NUMBER
MRL_CARGARECPROD;DTAVALIDADE;DATE
TB_CARGAEXPEDICAOITEM;QTDCONFERIDA;NUMBER
VMLO_CARGAESEPARA;QTDCONFERIDALOTE;NUMBER
VMLO_CARGAEXPJUNCAOFATPALETE;DATAHORAFIM;DATE
VMLO_CARGAEXPORTFATPALETE;DATAHORAFIM;DATE
WMSV_CARGAEXPEDSEPARADORES;DTAHORFIM;DATE
WMSV_CARGAEXPEDSEPARADORES;DTAHORINICIO;DATE
