NOME_TABELA;DESCRICAO_TABELA;QTD_LINHAS_ESTIMADA;TABLESPACE_NAME;DATA_ULTIMA_ANALISE
ABA_MARCOCONTABILSALDO;;0;TSD_CONSINCO;2026-08-09-22.50.21.000000
ABA_MIGINCONSISTENCIA;;0;TSD_CONSINCO;2026-08-09-22.51.10.000000
ABA_MIGRACAOLOG;Log de importações de lançamentos;0;TSD_CONSINCO;2026-08-09-22.51.06.000000
ABA_MIGRACCENTRORESULTVINCULO;;0;TSD_CONSINCO;2026-08-09-22.50.26.000000
ABA_MIGRACPLANOCONTAVINCULO;;0;TSD_CONSINCO;2026-08-09-22.50.29.000000
ABA_MIGRADORSCRIPTLOG;;0;TSD_CONSINCO;2026-08-09-22.51.02.000000
ABA_MIGSERVICOREQUISICAO;;0;TSD_CONSINCO;2026-08-09-22.51.10.000000
ABA_MIGSERVICOREQUISICAOLOG;Log de execução do serviço Windows do Migrador Contábil.;0;TSD_CONSINCO;2026-08-09-22.51.13.000000
ABA_MIGSERVICOREQUISICAOPARAM;;0;TSD_CONSINCO;2026-08-09-22.51.10.000000
ABA_MODELOCONTABIL;;242;TSD_CONSINCO;2026-08-19-02.42.50.000000
ABA_MODELOEXPLINHATOT;;0;TSD_CONSINCO;2026-08-09-22.50.13.000000
ABA_MODELOEXPORTACAO;;1;TSD_CONSINCO;2026-08-02-22.49.17.000000
ABA_MODELOEXPORTACAOCOLUNA;;0;TSD_CONSINCO;2026-08-09-22.50.56.000000
ABA_MODELOEXPORTACAOCONTAPARAM;;0;TSD_CONSINCO;2026-08-09-22.50.55.000000
ABA_MODELOEXPORTACAOFILTRO;;0;TSD_CONSINCO;2026-08-09-22.50.57.000000
ABA_MODELOEXPORTACAOFILTROEXIB;;12;TSD_CONSINCO;2026-08-02-22.49.18.000000
ABA_MODELOEXPORTACAOLINHA;;1;TSD_CONSINCO;2026-08-02-22.49.17.000000
ABA_MODELOEXPORTACAOLINHACONTA;;0;TSD_CONSINCO;2026-08-09-22.50.57.000000
ABA_MODELOEXPORTACAOLINHAFORM;;0;TSD_CONSINCO;2026-08-09-22.50.56.000000
ABA_MODELOEXPORTACAOLINHATIT;;1;TSD_CONSINCO;2026-08-02-22.49.17.000000
ABA_MODELOEXPORTACAOPERIODO;;0;TSD_CONSINCO;2026-08-09-22.49.45.000000
ABA_MODELOEXPORTACAOPERIODOREL;;0;TSD_CONSINCO;2026-08-09-22.49.46.000000
