CATEGORIA;NIVELHIERARQUIA
CORRENTE;5
CORRENTES;5
CORRETIVOS;5
CORT.UNHAS.ALICATE.PINCAS;5
CORTADOR - DESCASCADOR;5
CORTINA P BOX;5
CORTINAS;5
COSTELA BOV CONG;5
COSTELA BOV RESF;5
COSTELA CONGELADA;5
COSTELA OVINA;5
COSTELA RESFRIADA;5
COSTELA SUINA;5
COSTELAS;5
COUVE FLOR;5
COUVE MOLHO COMUM;5
COUVE MOLHO HIDROPONICA;5
COXA;5
COXA SOBRE COXA AVES CONG;5
COXAS SOBRECOXAS AVES RES;5
CREME CULINARIO;5
CREME DE AVELA;5
CREME DE BELEZA;5
CREME DE LEITE;5
CREME DENTAL;5
CREME DEPILATORIO;5
CREME ESPUMA GEL BARBA;5
CREME MILHO;5
CREME PARA BARBA;5
CREME PARA CABELO;5
CREME PARA PENTEAR;5
CREME VEGETAL;5
CREMES;5
CREMES E POMADAS;5
CREMES INFANTIS;5
CRENE DE LEITE;5
CREOLINA;5
CRNE DE AVES;5
CRUSTACEOS CONGELADOS;5
CUCAS;5
CUIAS;5
CUIDADOS PESSOAIS;5
CUIDADOS PET;5
CURATIVOS;5
DEFUMADOS CHARQUES SALGAD;5
DEGRAU P BANHEIRO;5
DEMAQUILANTE E LENCOS;5
DESCANSO P PANELA;5
DESENGRIPANTES;5
DESENTUPIDORES;5
DESINFETANTE 1L;5
DESINFETANTE 2L;5
DESINFETANTE 5 LITROS;5
DESINFETANTE 500 ML;5
DESINFETANTE 5L;5
DESINFETANTES;5
DESINFETANTES 5L;5
DESODORANTE AEROSOL;5
DESODORANTE CREME;5
DESODORANTE ROLL ON;5
DESODORANTE SPRAY;5
DESODORANTE STICK;5
DESODORIZ SANIT APARELHO;5
DESODORIZ SANIT CX ACOLPL;5
DESODORIZ SANIT PASTILHA;5
DESODORIZ SANIT REFIL;5
DESORIZ SANIT PEDRA;5
DESORORIZ SANIT LIQUIDO;5
DETERGENTE LIQ PARA LOUCA;5
DETERGENTE LIQUIDO 1L;5
DETERGENTE LIQUIDO 5 L;5
DETERGENTE MAQ LAVA LOUCA;5
DETERGENTE PO 1600 G;5
DETERGENTE PO 2200 G;5
DETERGENTE PO 4 KG;5
DETERGENTE PO 400G;5
DETERGENTE PO 800G;5
DICIONARIOS;5
DIFUSORES;5
DIVERSOS;5
DOBRADINHA-VIANDADA;5
DOCE BLOCO;5
DOCE CALDA;5
DOCE CASEIRO CALDA;5
DOCE COCO;5
DOCE DE FRUTA;5
DOCE DE FRUTAS;5
DOCE DE LEITE;5
DOCE FRUTAS BLOCO GRANEL;5
DOCE FRUTAS CALDA GRANEL;5
DOCE FRUTAS E LEITE GRANE;5
DOCE LEITE;5
DOCE MASSA - DOCE BLOCO;5
DOCES;5
DOCES DE LEITE-TABLETS;5
DOCES DIVERSOS;5
DOCES DIVERSOS-PIPOCAS;5
DOCES PRONTOS-RECHEIO;5
DOCINHOS;5
DORSO CAR PES AVES CONG;5
DORSO CAR PES AVES RESFR;5
DOSADOR;5
EDREDONS;5
EDUCADOR PET;5
ELIMINADOR DE ODORES PET;5
EMBALAGEM PARA CONGELAR;5
ENERGETICOS;5
ENFEITES PASCOA;5
ENVELOPES;5
ERVA MATE 1KG;5
ERVA MATE 500G;5
ERVA MATE COMPOSTA;5
ERVA MATE TERERE;5
ERVAS E CHAS;5
ERVAS E TEMPEROS;5
ERVILHA;5
ERVILHA COM CENOURA;5
ERVILHA COM MILHO;5
ERVILHA PARTIDA;5
ESCORREDOR;5
ESCOVA CABELO E PENTES;5
ESCOVA DENTAL;5
ESCOVA DENTAL PET;5
ESCOVA NYLON;5
ESCOVA P CABELO;5
ESCOVA P LIMPEZA;5
ESCOVAS LIMPEZA;5
ESCUMADEIRAS;5
ESFREGAO ACO;5
ESMALTE;5
ESMALTES;5
ESPARADRAPOS;5
ESPATULAS;5
ESPECIALICADES CONG;5
ESPECIALIDADES;5
ESPECIALIDADES AVES RESFR;5
ESPECIALIDADES CONGELADOS;5
ESPECIARIAS;5
ESPELHO;5
ESPETO SIMPLES;5
ESPETOS ALUMINIO;5
ESPETOS DUPLO;5
ESPINAFRE COMUM;5
ESPINHAFRE HIDROPONICO;5
ESPONJA DUPLA FACE;5
ESPONJA E ESTOPAS;5
ESPONJA P BANHO;5
ESPONJA P MAQUIAGEM;5
ESPONJA PLASTICO;5
ESPONJAS E ESCOVAS BANHO;5
ESPREMEDOR;5
ESPUMA PARA BARBA;5
ESSENCIA BAUNILHA;5
ESTILETES;5
ESTOJOS;5
ESTOJOS E KITS;5
EXTRATO DE SOJA;5
EXTRATO DE TOMATE;5
FACA DESCARTAVEL;5
FAQUEIRO;5
FARELO AVEIA;5
FARELO DE OSSO;5
FARINACEOS;5
FARINACEOS-CEREAIS;5
FARINHA AVEIA;5
FARINHA CENTEIO;5
FARINHA CEVADA;5
FARINHA CEVADA E TORRADA;5
FARINHA MANDIOCA CRUA;5
FARINHA MANDIOCA TORRADA;5
FARINHA MILHO E FUBA;5
FARINHA ROSCA;5
FARINHA TAPIOCA;5
FARINHA TRIGO COMUM;5
FARINHA TRIGO ESP-FERM;5
FATIADOR QUEIJO;5
FAVA;5
FECULAS;5
FEIJAO BRANCO;5
FEIJAO CARIOCA;5
FEIJAO PRETO;5
FEIJAO RAJADO;5
FEIJAO VERMELHO;5
FEIJAO-FEIJOADA;5
FEIJOADA;5
FERMENTO;5
